family,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
GCA-2861595,Bacteria,,GTDB_Only,No_Match,12,6,0,0,No verifiable NCBI taxonomy classification,"GCA_030773495.1, GCA_030859405.1, GCA_030776705.1, GCA_030859945.1, GCA_030448025.1"
B30-G6,Bacteria,,GTDB_Only,No_Match,12,2,0,0,No verifiable NCBI taxonomy classification,"GCA_019309725.1, GCA_028571805.1, GCA_030618765.1, GCA_019313725.1, GCA_022340465.1"
Rhodomicrobiaceae,Bacteria,,GTDB_Only,No_Match,12,4,0,0,No verifiable NCBI taxonomy classification,"GCF_018619475.1, GCA_019634405.1, GCF_002198685.1, GCF_030545245.1, GCF_000166055.1"
CG2-30-53-67,Bacteria,,GTDB_Only,No_Match,12,3,0,0,No verifiable NCBI taxonomy classification,"GCA_002774505.1, GCA_002782115.1, GCA_002781445.1, GCA_013151235.1, GCA_001873285.1"
BJGX01,Bacteria,,GTDB_Only,No_Match,12,4,0,0,No verifiable NCBI taxonomy classification,"GCA_943356855.1, GCA_943354735.1, GCA_943353815.1, GCA_026397045.1, GCA_943354915.1"
HGM11417,Bacteria,,GTDB_Only,No_Match,12,6,0,0,No verifiable NCBI taxonomy classification,"GCA_946496875.1, GCA_945921605.1, GCA_012519285.1, GCA_902484095.1, GCA_905215695.1"
RBG-13-53-26,Bacteria,,GTDB_Only,No_Match,12,7,0,0,No verifiable NCBI taxonomy classification,"GCA_016932645.1, GCA_026389585.1, GCA_016876035.1, GCA_030372995.1, GCA_003650225.1"
OUC007,Bacteria,,GTDB_Only,No_Match,12,2,0,0,No verifiable NCBI taxonomy classification,"GCF_003151135.1, GCA_913057995.1, GCA_950054345.1, GCA_950054355.1, GCA_937896565.1"
JAAYUI01,Bacteria,,GTDB_Only,No_Match,12,2,0,0,No verifiable NCBI taxonomy classification,"GCA_017999835.1, GCA_012517765.1, GCA_017992555.1, GCA_937863735.1, GCA_021373155.1"
GW2011-AR18,Archaea,,GTDB_Only,No_Match,12,8,0,0,No verifiable NCBI taxonomy classification,"GCA_018302235.1, GCA_016179945.1, GCA_018302545.1, GCA_000806155.1, GCA_018302765.1"
JAJYID01,Bacteria,,GTDB_Only,No_Match,12,3,0,0,No verifiable NCBI taxonomy classification,"GCA_027334665.1, GCA_021787535.1, GCA_027342015.1, GCA_021790235.1, GCA_021796415.1"
CPR2,Bacteria,,GTDB_Only,No_Match,12,2,0,0,No verifiable NCBI taxonomy classification,"GCA_000995565.1, GCA_000995395.1, GCA_003526405.1, GCA_002785285.1, GCA_001771115.1"
UBA796,Bacteria,,GTDB_Only,No_Match,12,4,0,0,No verifiable NCBI taxonomy classification,"GCA_002296975.1, GCA_029251165.1, GCA_002707085.1, GCA_002425355.1, GCA_937127265.1"
SZUA-161,Bacteria,,GTDB_Only,No_Match,12,7,0,0,No verifiable NCBI taxonomy classification,"GCA_021787935.1, GCA_003229915.1, GCA_030588785.1, GCA_011174795.1, GCA_014874385.1"
UBA3940,Bacteria,,GTDB_Only,No_Match,12,9,0,0,No verifiable NCBI taxonomy classification,"GCA_002385675.1, GCA_016928235.1, GCA_012516245.1, GCA_024643825.1, GCA_016926255.1"
PWTM01,Bacteria,,GTDB_Only,No_Match,12,5,0,0,No verifiable NCBI taxonomy classification,"GCA_938005415.1, GCA_938005705.1, GCA_938010045.1, GCA_017996315.1, GCA_026417735.1"
SMXR01,Bacteria,,GTDB_Only,No_Match,12,6,0,0,No verifiable NCBI taxonomy classification,"GCA_004356215.1, GCA_022566215.1, GCA_937126915.1, GCA_022566895.1, GCA_022568115.1"
Aenigmatarchaeaceae,Archaea,,GTDB_Only,No_Match,12,8,0,0,No verifiable NCBI taxonomy classification,"GCA_018899515.1, GCA_000405245.1, GCA_018901655.1, GCA_011773475.1, GCA_018901755.1"
J057,Bacteria,,GTDB_Only,No_Match,11,8,0,0,No verifiable NCBI taxonomy classification,"GCA_003696875.1, GCA_030430205.1, GCA_003696835.1, GCA_013298365.1, GCA_022760475.1"
WO2-44-18,Bacteria,,GTDB_Only,No_Match,11,8,0,0,No verifiable NCBI taxonomy classification,"GCA_030689595.1, GCA_001817915.1, GCA_023244815.1, GCA_016182295.1, GCA_030698695.1"
PWEA01,Archaea,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003555465.1, GCA_022257715.1, GCA_022257655.1, GCA_003554235.1, GCA_022257665.1"
UBA6022,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946886125.1, GCA_946479665.1, GCA_946886725.1, GCA_002404195.1, GCA_946479115.1"
CAIQIC01,Bacteria,,GTDB_Only,No_Match,11,2,0,0,No verifiable NCBI taxonomy classification,"GCA_903873835.1, GCA_903825365.1, GCA_903827415.1, GCA_903912445.1, GCA_903823755.1"
UBA1406,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_001788275.1, GCA_001788295.1, GCA_001790165.1, GCA_001790125.1, GCA_001790075.1"
UBA525,Archaea,,GTDB_Only,No_Match,11,2,0,0,No verifiable NCBI taxonomy classification,"GCA_002498125.1, GCA_023252315.1, GCA_002503705.1, GCA_028279755.1, GCA_018221245.1"
SIBU01,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_009695005.1, GCA_027422875.1, GCA_027422925.1, GCA_016188455.1, GCA_027422785.1"
DTJL01,Archaea,,GTDB_Only,No_Match,11,2,0,0,No verifiable NCBI taxonomy classification,"GCA_027328475.1, GCA_029784735.1, GCA_029776075.1, GCA_021811935.1, GCA_029784755.1"
RBG-16-68-14,Bacteria,,GTDB_Only,No_Match,11,5,0,0,No verifiable NCBI taxonomy classification,"GCA_022563325.1, GCA_003228685.1, GCA_022562155.1, GCA_001796995.1, GCA_022570885.1"
2-02-FULL-40-11,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_003528305.1, GCA_001798105.1, GCA_016198185.1, GCA_016193165.1, GCA_001798085.1"
Palsa-1180,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_013286205.1, GCA_021324075.1, GCA_025980505.1, GCA_023249615.1, GCA_030038835.1"
CAITUY01,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_903958395.1, GCA_903934155.1, GCA_903934585.1, GCA_945870225.1, GCA_903895695.1"
UBA3072,Bacteria,,GTDB_Only,No_Match,11,5,0,0,No verifiable NCBI taxonomy classification,"GCA_023132675.1, GCA_023128675.1, GCA_023129935.1, GCA_016930175.1, GCA_004377355.1"
SORT01,Bacteria,,GTDB_Only,No_Match,11,2,0,0,No verifiable NCBI taxonomy classification,"GCA_022571215.1, GCA_004402895.1, GCA_022563175.1, GCA_022567735.1, GCA_022567635.1"
Kazan-3B-28,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_001004445.1, GCA_003527425.1, GCA_028717565.1, GCA_001771215.1, GCA_001004375.1"
JACDGC01,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_021812265.1, GCA_027399335.1, GCA_027459705.1, GCA_027350185.1, GCA_027399295.1"
VXPQ01,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022823835.1, GCA_009836085.1, GCA_022821845.1, GCA_951812345.1, GCA_022827505.1"
GCA-002694895,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029936815.1, GCA_913045935.1, GCA_950054165.1, GCA_950061555.1, GCA_950054395.1"
GWF2-35-9,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_903860705.1, GCA_001783275.1, GCA_903902445.1, GCA_903866195.1, GCA_903910705.1"
UBA284,Archaea,,GTDB_Only,No_Match,11,9,0,0,No verifiable NCBI taxonomy classification,"GCA_030619955.1, GCA_020343435.1, GCA_023511755.1, GCA_030612665.1, GCA_026016245.1"
Spongiicolonaceae,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_026709605.1, GCA_007570925.1, GCA_028286195.1, GCA_028817565.1, GCA_028286145.1"
UBA4744,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_024763085.1, GCA_002403855.1, GCA_002897675.1, GCA_029863625.1, GCA_002923235.1"
Fen-181,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_021779795.1, GCA_027350935.1, GCA_029974175.1, GCA_017883185.1, GCA_003171275.1"
Nitrosococcaceae,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCF_000143085.1, GCF_000740735.1, GCF_902810445.1, GCF_000155655.1, GCF_945836005.1"
SM1-73,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_029933635.1, GCA_903908285.1, GCA_020341875.1, GCA_903837615.1, GCA_903840205.1"
UBA6777,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_027005175.1, GCA_003444275.1, GCA_006226375.1, GCA_023150835.1, GCA_020633035.1"
JACNKJ01,Bacteria,,GTDB_Only,No_Match,11,5,0,0,No verifiable NCBI taxonomy classification,"GCA_020633715.1, GCA_030748535.1, GCA_024231955.1, GCA_016873475.1, GCA_030743635.1"
CAJQPC01,Bacteria,,GTDB_Only,No_Match,11,4,0,0,No verifiable NCBI taxonomy classification,"GCA_024230055.1, GCA_016719515.1, GCA_937915955.1, GCA_024228935.1, GCA_913060515.1"
UBA9936,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003453635.1, GCA_003489225.1, GCA_003518965.1, GCA_001774155.1, GCA_003489825.1"
CAIUCS01,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903892205.1, GCA_903830165.1, GCA_903897715.1, GCA_903872095.1, GCA_903851745.1"
Jeotgalibacillaceae,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCF_000829445.1, GCF_020595125.1, GCF_016908195.1, GCF_004358665.1, GCF_029667115.1"
CG2-30-70-394,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002780165.1, GCA_009993275.1, GCA_002782105.1, GCA_024278555.1, GCA_002783945.1"
UBA5760,Bacteria,,GTDB_Only,No_Match,11,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002418895.1, GCA_011176655.1, GCA_028716225.1, GCA_030639215.1, GCA_015222205.1"
UBA6899,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_001821395.1, GCA_001821385.1, GCA_001821435.1, GCA_000999395.1, GCA_027330905.1"
CAIPLT01,Bacteria,,GTDB_Only,No_Match,11,3,0,0,No verifiable NCBI taxonomy classification,"GCA_903865935.1, GCA_903891615.1, GCA_903897735.1, GCA_025061975.1, GCA_903822355.1"
C00003106,Bacteria,,GTDB_Only,No_Match,11,2,0,0,No verifiable NCBI taxonomy classification,"GCA_001750905.1, GCA_030262875.1, GCA_023139755.1, GCA_030672555.1, GCA_030262915.1"
JAKSDN01,Bacteria,,GTDB_Only,No_Match,11,5,0,0,No verifiable NCBI taxonomy classification,"GCA_028280455.1, GCA_937974415.1, GCA_029859805.1, GCA_030064845.1, GCA_029860405.1"
RBG-13-38-9,Archaea,,GTDB_Only,No_Match,11,6,0,0,No verifiable NCBI taxonomy classification,"GCA_018396565.1, GCA_030637375.1, GCA_001775955.1, GCA_026015185.1, GCA_018396915.1"
WJJR01,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_027457265.1, GCA_021843385.1, GCA_027457325.1, GCA_014729565.1, GCA_016235085.1"
2-01-FULL-46-14,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_001777875.1, GCA_001777615.1, GCA_001777515.1, GCA_001780115.1, GCA_030700065.1"
B64-G9,Bacteria,,GTDB_Only,No_Match,10,9,0,0,No verifiable NCBI taxonomy classification,"GCA_030591445.1, GCA_003647095.1, GCA_019314375.1, GCA_016935365.1, GCA_019307065.1"
UBA6126,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_028708485.1, GCA_028700655.1, GCA_021372585.1, GCA_007126365.1, GCA_003559155.1"
Chromulinivoraceae,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_026389065.1, GCA_016183005.1, GCA_017992075.1, GCA_018062405.1, GCA_018061805.1"
JACRHJ01,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_027328825.1, GCA_016212105.1, GCA_027340465.1, GCA_027341015.1, GCA_021789495.1"
Gearchaeaceae,Archaea,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_021324265.1, GCA_017857595.1, GCA_000380705.1, GCA_000398765.1, GCA_000399825.1"
WYZ-LMO8,Archaea,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_004347915.1, GCA_026414405.1, GCA_011605835.1, GCA_030055465.1, GCA_020833355.1"
JAMCWF01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021823105.1, GCA_027392375.1, GCA_027392435.1, GCA_027392395.1, GCA_027392475.1"
DTU084,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_002426275.1, GCA_937888735.1, GCA_937862645.1, GCA_002427165.1, GCA_002411405.1"
Kineococcaceae,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCF_003002055.1, GCF_002934625.1, GCF_009906315.1, GCF_009906395.1, GCF_009906795.1"
M55B111,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_018334895.1, GCA_018334595.1, GCA_021735245.1, GCA_018334615.1, GCA_018335315.1"
SCGC-AAA252-I15,Archaea,,GTDB_Only,No_Match,10,8,0,0,No verifiable NCBI taxonomy classification,"GCA_014729705.1, GCA_014727985.1, GCA_018815265.1, GCA_028712125.1, GCA_026394745.1"
PWMZ01,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_003559065.1, GCA_028702475.1, GCA_028689265.1, GCA_028690715.1, GCA_028715565.1"
EX4484-36,Archaea,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003650025.1, GCA_003649965.1, GCA_003663625.1, GCA_021158585.1, GCA_937888245.1"
JABMPJ01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018673455.1, GCA_029939545.1, GCA_018692835.1, GCA_030749005.1, GCA_016783675.1"
Iainarchaeaceae,Archaea,,GTDB_Only,No_Match,10,4,0,0,No verifiable NCBI taxonomy classification,"GCA_002762975.1, GCA_000402355.1, GCA_002687735.1, GCA_024653905.1, GCA_005239615.1"
RBG-13-40-8-A,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_028698285.1, GCA_014728535.1, GCA_030692145.1, GCA_018829905.1, GCA_001819435.1"
GCA-002719695,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_002713025.1, GCA_902530045.1, GCA_002690645.1, GCA_003265885.1, GCA_937910845.1"
UBA583,Archaea,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_007117405.1, GCA_937138345.1, GCA_020637525.1, GCA_013215525.1, GCA_023898345.1"
RBG-13-42-11,Bacteria,,GTDB_Only,No_Match,10,9,0,0,No verifiable NCBI taxonomy classification,"GCA_001821455.1, GCA_026396095.1, GCA_003556525.1, GCA_030646565.1, GCA_028712445.1"
GCA-002748355,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_002685965.1, GCA_020638795.1, GCA_020426005.1, GCA_011321845.1, GCA_027021385.1"
UWMA-0217,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_027031685.1, GCA_027081275.1, GCA_015662515.1, GCA_938041655.1, GCA_012961935.1"
B30-G16,Bacteria,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_030613005.1, GCA_021159335.1, GCA_027064665.1, GCA_937877745.1, GCA_027007865.1"
JACPBV01,Archaea,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_018825175.1, GCA_016180165.1, GCA_027623355.1, GCA_016180135.1, GCA_019322475.1"
RGIG6154,Bacteria,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_017410375.1, GCA_934446135.1, GCA_017523005.1, GCA_017622395.1, GCA_017409875.1"
UMGS1783,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_959021455.1, GCA_937892635.1, GCA_958351915.1, GCA_905209135.1, GCA_937921065.1"
WRIO01,Bacteria,,GTDB_Only,No_Match,10,4,0,0,No verifiable NCBI taxonomy classification,"GCA_029553545.1, GCA_028695195.1, GCA_029564175.1, GCA_023230175.1, GCA_028686915.1"
D2-FULL-39-29,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_001780375.1, GCA_903891415.1, GCA_903884935.1, GCA_001778355.1, GCA_903928075.1"
JAAYUB01,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_937925645.1, GCA_023622645.1, GCA_018001935.1, GCA_017996395.1, GCA_029547875.1"
UBA1127,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_002311595.1, GCA_028873745.1, GCA_028874355.1, GCA_913045315.1, GCA_951812285.1"
2-02-FULL-50-9b,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903826655.1, GCA_903893485.1, GCA_001782815.1, GCA_026396555.1, GCA_943355025.1"
UBA10165,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_002686465.1, GCA_003505255.1, GCA_007376395.1, GCA_001816475.1, GCA_000993655.1"
GLR71,Archaea,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_030636615.1, GCA_019429005.1, GCA_030631965.1, GCA_023134675.1, GCA_013138765.1"
NORP154,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_015663575.1, GCA_002400975.1, GCA_012965955.1, GCA_022572355.1, GCA_016764395.1"
CAIMTB01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903863355.1, GCA_020845805.1, GCA_903872275.1, GCA_903844265.1, GCA_903901605.1"
VMTK01,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_030693295.1, GCA_018899735.1, GCA_018899775.1, GCA_018899175.1, GCA_013791585.1"
UBA7239,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_002333095.1, GCA_020443005.1, GCA_016712055.1, GCA_937868705.1, GCA_002472985.1"
B3-G15,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_021163905.1, GCA_014859225.1, GCA_021160545.1, GCA_021160405.1, GCA_021162265.1"
JACQRZ01,Bacteria,,GTDB_Only,No_Match,10,8,0,0,No verifiable NCBI taxonomy classification,"GCA_016188385.1, GCA_016206175.1, GCA_023246955.1, GCA_023246095.1, GCA_016186045.1"
JABJCN01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938035505.1, GCA_937911405.1, GCA_018673815.1, GCA_913046175.1, GCA_913048125.1"
OLB20,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_019454465.1, GCA_001567355.1, GCA_001567305.1, GCA_021463645.1, GCA_937871845.1"
CAJFEE01,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_946498745.1, GCA_947426045.1, GCA_029256085.1, GCA_944327065.1, GCA_017889205.1"
GCA-2687025,Bacteria,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_016866785.1, GCA_018667155.1, GCA_027625215.1, GCA_026004875.1, GCA_018665855.1"
UBA6663,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_002455335.1, GCA_016789165.1, GCA_020850595.1, GCA_937952305.1, GCA_016789175.1"
JANLFN01,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_023421675.1, GCA_029907485.1, GCA_030705825.1, GCA_023436985.1, GCA_023392345.1"
CG2-30-66-41,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_010119115.1, GCA_001871675.1, GCA_002779825.1, GCA_009993385.1, GCA_002782725.1"
UBA8919,Bacteria,,GTDB_Only,No_Match,10,4,0,0,No verifiable NCBI taxonomy classification,"GCA_001800605.1, GCA_001800635.1, GCA_003452965.1, GCA_016218625.1, GCA_001800565.1"
UBA6264,Bacteria,,GTDB_Only,No_Match,10,7,0,0,No verifiable NCBI taxonomy classification,"GCA_028711035.1, GCA_021735685.1, GCA_002452615.1, GCA_028713575.1, GCA_022572625.1"
BNTO01,Bacteria,,GTDB_Only,No_Match,10,6,0,0,No verifiable NCBI taxonomy classification,"GCA_025996655.1, GCA_031279185.1, GCA_031257795.1, GCA_031270515.1, GCA_025996635.1"
CAIMUX01,Bacteria,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_020431765.1, GCA_020851285.1, GCA_030431975.1, GCA_020431745.1, GCA_903844735.1"
UBA5500,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_023436245.1, GCA_012735505.1, GCA_023622465.1, GCA_029781045.1, GCA_937916695.1"
UBA12409,Bacteria,,GTDB_Only,No_Match,10,3,0,0,No verifiable NCBI taxonomy classification,"GCA_001771315.1, GCA_018660415.1, GCA_021823685.1, GCA_003542475.1, GCA_000991575.1"
SHVP01,Bacteria,,GTDB_Only,No_Match,10,5,0,0,No verifiable NCBI taxonomy classification,"GCA_016869765.1, GCA_027622715.1, GCA_938023835.1, GCA_022566715.1, GCA_027593465.1"
S5-K13,Bacteria,,GTDB_Only,No_Match,10,4,0,0,No verifiable NCBI taxonomy classification,"GCA_019248045.1, GCA_019248485.1, GCA_030591905.1, GCA_029555085.1, GCA_028692545.1"
CAKMZJ01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_929200205.1, GCA_929200415.1, GCA_929200465.1, GCA_929200355.1, GCA_929200395.1"
S016-38,Bacteria,,GTDB_Only,No_Match,10,2,0,0,No verifiable NCBI taxonomy classification,"GCA_027068075.1, GCA_027037695.1, GCA_015486055.1, GCA_027013365.1, GCA_027025175.1"
Xiphinematobacteraceae,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCF_001318295.1, GCA_016766675.1, GCA_016766615.1, GCA_016766715.1, GCA_016766695.1"
SB21,Bacteria,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_008933615.1, GCA_020438245.1, GCA_016787925.1, GCA_016788215.1, GCA_019695335.1"
CAIZLB01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_943359505.1, GCA_943359545.1, GCA_903953795.1, GCA_943356525.1, GCA_903842415.1"
JAAZCA01,Bacteria,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_012513515.1, GCA_022704285.1, GCA_937871005.1, GCA_002069625.1, GCA_021810905.1"
PR03,Bacteria,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_023384285.1, GCA_025453505.1, GCA_028284525.1, GCA_003576805.1, GCA_027493655.1"
MHMH01,Bacteria,,GTDB_Only,No_Match,9,5,0,0,No verifiable NCBI taxonomy classification,"GCA_016181965.1, GCA_016186525.1, GCA_030648815.1, GCA_016181985.1, GCA_001819335.1"
CAIXNZ01,Bacteria,,GTDB_Only,No_Match,9,6,0,0,No verifiable NCBI taxonomy classification,"GCA_028714455.1, GCA_030592165.1, GCA_903920975.1, GCA_016927685.1, GCA_026395685.1"
JABDAW01,Bacteria,,GTDB_Only,No_Match,9,2,0,0,No verifiable NCBI taxonomy classification,"GCA_903859025.1, GCA_903844645.1, GCA_903925625.1, GCA_903911135.1, GCA_903865345.1"
JAGMCJ01,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030615325.1, GCA_022848865.1, GCA_030629705.1, GCA_023136265.1, GCA_022848825.1"
UBA2200,Bacteria,,GTDB_Only,No_Match,9,5,0,0,No verifiable NCBI taxonomy classification,"GCA_030607875.1, GCA_014360905.1, GCA_002070215.1, GCA_002435875.1, GCA_014360755.1"
RBG-16-55-9,Bacteria,,GTDB_Only,No_Match,9,5,0,0,No verifiable NCBI taxonomy classification,"GCA_016201405.1, GCA_026982655.1, GCA_015487455.1, GCA_001778455.1, GCA_027021605.1"
DSPV01,Bacteria,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_001820985.1, GCA_001820965.1, GCA_001822675.1, GCA_001822695.1, GCA_001820875.1"
GWA2-46-9,Bacteria,,GTDB_Only,No_Match,9,2,0,0,No verifiable NCBI taxonomy classification,"GCA_001791535.1, GCA_001791385.1, GCA_002793855.1, GCA_001790975.1, GCA_001791155.1"
UBA10117,Archaea,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_016204275.1, GCA_016182015.1, GCA_023245115.1, GCA_903857235.1, GCA_903878405.1"
Gp22-AA2,Bacteria,,GTDB_Only,No_Match,9,5,0,0,No verifiable NCBI taxonomy classification,"GCA_020028385.1, GCA_018606725.1, GCA_003223135.1, GCA_016177515.1, GCA_003223165.1"
Pedosphaeraceae,Bacteria,,GTDB_Only,No_Match,9,5,0,0,No verifiable NCBI taxonomy classification,"GCA_028293285.1, GCA_903918755.1, GCA_021325145.1, GCA_903930565.1, GCA_028293325.1"
UBA8898,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029558765.1, GCA_029973875.1, GCA_022705305.1, GCA_018435005.1, GCA_002402755.1"
Duberdicusellaceae,Bacteria,,GTDB_Only,No_Match,9,4,0,0,No verifiable NCBI taxonomy classification,"GCA_021163425.1, GCA_016932855.1, GCA_011052855.1, GCA_003644345.1, GCA_015486615.1"
NBLH01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027083715.1, GCA_029933755.1, GCA_029210905.1, GCA_002084525.1, GCA_016937695.1"
