family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Coleofasciculaceae,Bacteria,52,733078674,Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae,superkingdom;phylum;class;order;family,81602897;15887558;1606220747;1921604596;733078674
Anaerohalosphaeraceae,Bacteria,52,1922247060,Bacteria;Planctomycetota;Phycisphaerae;Sedimentisphaerales;Anaerohalosphaeraceae,superkingdom;phylum;class;order;family,81602897;678426958;623639364;208244486;1922247060
Azobacteroidaceae,Bacteria,52,1786717357,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Azobacteroidaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1786717357
UBA6615,Bacteria,52,693034099,Bacteria;Pseudomonadota;Alphaproteobacteria;UBA6615;UBA6615,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;277491781;693034099
UBA6898,Bacteria,52,1552234697,Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;UBA6898,superkingdom;phylum;class;order;family,81602897;1669227019;2101698029;1387359186;1552234697
Salisediminibacteriaceae,Bacteria,52,793005066,Bacteria;Bacillota;Bacilli;Bacillales_H;Salisediminibacteriaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1915192421;793005066
Elainellaceae,Bacteria,52,216742318,Bacteria;Cyanobacteriota;Cyanobacteriia;Elainellales;Elainellaceae,superkingdom;phylum;class;order;family,81602897;15887558;1606220747;723665820;216742318
Multivoraceae,Bacteria,52,35819756,Bacteria;Acidobacteriota;Thermoanaerobaculia;Multivoradales;Multivoraceae,superkingdom;phylum;class;order;family,81602897;884358093;468001233;97482012;35819756
UBA1402,Bacteria,52,1056137839,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA1402,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1056137839
SLC66,Bacteria,51,175717570,Bacteria;Bacillota;Bacilli;Alicyclobacillales;SLC66,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1659515734;175717570
Coprobacteraceae,Bacteria,51,1672426680,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Coprobacteraceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1672426680
UBA6902,Bacteria,51,999939321,Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902;UBA6902,superkingdom;phylum;class;order;family,81602897;1669227019;2101698029;9745080;999939321
Kangiellaceae,Bacteria,51,1688663639,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Kangiellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1851777887;1688663639
DSM-16500,Bacteria,51,1143115342,Bacteria;Pseudomonadota;Gammaproteobacteria;DSM-16500,superkingdom;phylum;class;order,81602897;1712663402;1969409366;1143115342
RUG11792,Bacteria,51,379377526,Bacteria;Pseudomonadota;Alphaproteobacteria;RUG11792;RUG11792,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;144338573;379377526
ETH-SRB1,Bacteria,51,1872460253,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;ETH-SRB1,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;100205859;1872460253
UBA1568,Bacteria,51,232063326,Bacteria;Patescibacteriota;Minisyncoccia;Moranbacterales;UBA1568,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;1081373055;232063326
UBA3830,Bacteria,51,233582205,Bacteria;Pseudomonadota;Alphaproteobacteria;UBA3830;UBA3830,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;373023973;233582205
UBA5619,Bacteria,51,1601863487,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;UBA5619,superkingdom;phylum;class;order;family,81602897;1568916253;1408778026;441072622;1601863487
Fictibacillaceae,Bacteria,51,1580378208,Bacteria;Bacillota;Bacilli;Bacillales_G;Fictibacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;370597438;1580378208
Sulfuriferulaceae,Bacteria,51,1286444313,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Sulfuriferulaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;1286444313
S15-B10,Bacteria,51,716749442,Bacteria;Marinisomatota;Marinisomatia;Marinisomatales;S15-B10,superkingdom;phylum;class;order;family,81602897;576088655;771908383;1542137148;716749442
Heimdallarchaeaceae,Archaea,51,872771760,Archaea;Asgardarchaeota;Heimdallarchaeia;Heimdallarchaeales;Heimdallarchaeaceae,superkingdom;phylum;class;order;family,1337977286;613311890;856736772;423817087;872771760
Thermovirgaceae,Bacteria,51,852338148,Bacteria;Synergistota;Synergistia;Synergistales;Thermovirgaceae,superkingdom;phylum;class;order;family,81602897;265651168;932495695;353319153;852338148
UBA2023,Bacteria,50,1287728751,Bacteria;Patescibacteriota;JAEDAM01;BD1-5;UBA2023,superkingdom;phylum;class;order;family,81602897;1184272463;460207815;213061415;1287728751
DTU010,Bacteria,50,1740844762,Bacteria;Bacillota;Limnochordia;DTU010;DTU010,superkingdom;phylum;class;order;family,81602897;131003083;1456357158;1520413812;1740844762
UBA8190,Bacteria,50,192179891,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;UBA8190,superkingdom;phylum;class;order;family,81602897;922471546;377422747;1596481911;192179891
UBA6821,Bacteria,50,1161265722,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;UBA6821,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;464783028;1161265722
UBA1062,Bacteria,50,969663418,Bacteria;Desulfobacterota;Desulfomonilia;UBA1062;UBA1062,superkingdom;phylum;class;order;family,81602897;1568916253;132344509;1478460482;969663418
UBA927,Bacteria,50,121270577,Bacteria;Patescibacteriota;Microgenomatia;UBA10105;UBA927,superkingdom;phylum;class;order;family,81602897;1184272463;151692982;766336400;121270577
Geminicoccaceae,Bacteria,50,656634350,Bacteria;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;182556042;656634350
Fastidiosipilaceae,Bacteria,50,1284707093,Bacteria;Bacillota;Clostridia;Saccharofermentanales;Fastidiosipilaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1146971457;1284707093
Ozemobacteraceae,Bacteria,49,793870005,Bacteria;Muiribacteriota;Ozemobacteria;Ozemobacterales;Ozemobacteraceae,superkingdom;phylum;class;order;family,81602897;2133630180;2113099385;1559323801;793870005
V1-33,Bacteria,49,1369883583,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;V1-33,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;1087024702;1369883583
GWA1-40-21,Bacteria,49,266658615,Bacteria;Patescibacteriota;Minisyncoccia;UBA9973;GWA1-40-21,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;168137696;266658615
UBA12225,Bacteria,49,2010643468,Bacteria;Chloroflexota;UBA2235;UBA12225;UBA12225,superkingdom;phylum;class;order;family,81602897;510129959;1599935951;1390978539;2010643468
Endozoicomonadaceae,Bacteria,49,1329578701,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;1329578701
UBA1750,Bacteria,48,211964195,Bacteria;Bacillota;Clostridia;Christensenellales;UBA1750,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;211964195
Spongiibacteraceae,Bacteria,48,2110159347,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;2110159347
UBA1234,Bacteria,48,1070482304,Bacteria;Bacillota;Clostridia;TANB77;UBA1234,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1695692735;1070482304
UBA9294,Bacteria,48,1106491271,Bacteria;Bipolaricaulota;Bipolaricaulia;UBA7950;UBA9294,superkingdom;phylum;class;order;family,81602897;1875858204;149596245;1694655300;1106491271
Nannocystaceae,Bacteria,48,417451139,Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae,superkingdom;phylum;class;order;family,81602897;1995082271;1758649255;56068353;417451139
TCS64,Archaea,48,1326804024,Archaea;Thermoproteota;Bathyarchaeia;TCS64,superkingdom;phylum;class;order,1337977286;1464800560;230993527;1326804024
Lentimicrobiaceae,Bacteria,48,435689450,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Lentimicrobiaceae,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;435689450
REEB76,Bacteria,48,1417055914,Bacteria;Pseudomonadota;Gammaproteobacteria;REEB76;REEB76,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;796201959;1417055914
UBA9933,Bacteria,48,475929550,Bacteria;Patescibacteriota;Minisyncoccia;UBA6257;UBA9933,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;370345088;475929550
Desulfosarcinaceae,Bacteria,48,1053776204,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;100205859;1053776204
GWA2-41-24,Bacteria,48,1495431296,Bacteria;Patescibacteriota;Microgenomatia;Curtissbacterales;GWA2-41-24,superkingdom;phylum;class;order;family,81602897;1184272463;151692982;1090950747;1495431296
GCA-002716945,Bacteria,47,1011484250,Bacteria;Pseudomonadota;Gammaproteobacteria;GCA-002705445;GCA-002716945,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1122743858;1011484250
UBA961,Bacteria,47,727330328,Bacteria;Bacteroidota_A;Kapaibacteriia;Kapaibacteriales;UBA961,superkingdom;phylum;class;order;family,81602897;95618103;1276938547;695374644;727330328
SZUA-152,Bacteria,47,604409035,Bacteria;Pseudomonadota;Gammaproteobacteria;SZUA-152;SZUA-152,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;623876146;604409035
UBA2359,Bacteria,47,1129842018,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;UBA2359,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;1129842018
Methanomassiliicoccaceae,Archaea,47,270999510,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae,superkingdom;phylum;class;order;family,1337977286;1319660302;1680928555;2113981;270999510
AAA164-E04,Bacteria,47,1923495403,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Limisphaerales;AAA164-E04,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;1197035220;1923495403
Dethiosulfovibrionaceae,Bacteria,47,966863182,Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae,superkingdom;phylum;class;order;family,81602897;265651168;932495695;353319153;966863182
UBA1820,Bacteria,47,1329209804,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;UBA1820,superkingdom;phylum;class;order;family,81602897;504177835;618517539;899814506;1329209804
Thermotogaceae,Bacteria,47,40301126,Bacteria;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae,superkingdom;phylum;class;order;family,81602897;680329844;265141076;77752654;40301126
Brachytrichaceae,Bacteria,47,67269994,Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae,superkingdom;phylum;class;order;family,81602897;510129959;1559853718;192082648;67269994
UBA11471,Bacteria,47,437600715,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA11471,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;437600715
SZUA-140,Bacteria,46,1917886583,Bacteria;Pseudomonadota;Gammaproteobacteria;SZUA-140;SZUA-140,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;704258149;1917886583
Aquincolibacteriaceae,Bacteria,46,579084562,Bacteria;Omnitrophota;Omnitrophia;Omnitrophales;Aquincolibacteriaceae,superkingdom;phylum;class;order;family,81602897;1725231264;1857543631;504780348;579084562
Vermiphilaceae,Bacteria,46,2076815182,Bacteria;Babelota;Babeliae;Babelales;Vermiphilaceae,superkingdom;phylum;class;order;family,81602897;812094793;2020026408;1985852393;2076815182
UBA2199,Bacteria,46,2088920195,Bacteria;Acidobacteriota;Aminicenantia;UBA2199;UBA2199,superkingdom;phylum;class;order;family,81602897;884358093;2125845072;796243344;2088920195
UBA2020,Bacteria,46,238272973,Bacteria;Pseudomonadota;Alphaproteobacteria;Micavibrionales;UBA2020,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;728364285;238272973
UBA5629,Bacteria,46,241625649,Bacteria;Chloroflexota;Dehalococcoidia;GIF9;UBA5629,superkingdom;phylum;class;order;family,81602897;510129959;1736958301;1584727937;241625649
Desulfarculaceae,Bacteria,46,1546677693,Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae,superkingdom;phylum;class;order;family,81602897;1568916253;1252421743;1393526007;1546677693
UBA2968,Bacteria,46,480444739,Bacteria;Latescibacterota;UBA2968;UBA2968;UBA2968,superkingdom;phylum;class;order;family,81602897;1408694990;227243713;453832657;480444739
UBA7662,Bacteria,46,1658668969,Bacteria;Bacteroidota;Bacteroidia;UBA7662;UBA7662,superkingdom;phylum;class;order;family,81602897;504177835;618517539;906071818;1658668969
JdFR-88,Bacteria,46,92150057,Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;JdFR-88,superkingdom;phylum;class;order;family,81602897;1669227019;2101698029;1387359186;92150057
Colwellbacteraceae,Bacteria,46,2014708565,Bacteria;Patescibacteriota;Minisyncoccia;UBA6257;Colwellbacteraceae,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;370345088;2014708565
UBA10324,Bacteria,45,1246162470,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;UBA10324,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;1246162470
QAMX01,Bacteria,45,1817366091,Bacteria;Bacillota;Clostridia;Oscillospirales;QAMX01,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;855679871;1817366091
UBA1135,Bacteria,45,96840077,Bacteria;Planctomycetota;UBA1135;UBA1135;UBA1135,superkingdom;phylum;class;order;family,81602897;678426958;122588053;279198892;96840077
RBG-16-60-22,Bacteria,45,70745027,Bacteria;Chloroflexota;Dehalococcoidia;Dehalococcoidales;RBG-16-60-22,superkingdom;phylum;class;order;family,81602897;510129959;1736958301;1217821002;70745027
SM23-33,Bacteria,45,795191720,Bacteria;Planctomycetota;Phycisphaerae;SM23-33;SM23-33,superkingdom;phylum;class;order;family,81602897;678426958;623639364;445047472;795191720
Tepidisphaeraceae,Bacteria,45,1734323943,Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae,superkingdom;phylum;class;order;family,81602897;678426958;623639364;1262854332;1734323943
HK1,Bacteria,45,1444008935,Bacteria;Pseudomonadota;Gammaproteobacteria;HK1;HK1,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;589279527;1444008935
Sporolactobacillaceae,Bacteria,45,1652510118,Bacteria;Bacillota;Bacilli;Bacillales_K;Sporolactobacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1418035731;1652510118
UBA4427,Bacteria,45,512156434,Bacteria;Myxococcota_A;UBA9160;UBA9160;UBA4427,superkingdom;phylum;class;order;family,81602897;221161996;1401593029;834353456;512156434
Korarchaeaceae,Archaea,45,764702782,Archaea;Korarchaeota;Korarchaeia;Korarchaeales;Korarchaeaceae,superkingdom;phylum;class;order;family,1337977286;2017233695;1390343167;618024959;764702782
Leptonemataceae,Bacteria,45,864201650,Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptonemataceae,superkingdom;phylum;class;order;family,81602897;39784000;1425250793;1306176705;864201650
Pelotomaculaceae,Bacteria,45,551044086,Bacteria;Bacillota;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae,superkingdom;phylum;class;order;family,81602897;131003083;891735154;1163602672;551044086
Xenobiaceae,Bacteria,45,1905427563,Bacteria;Vulcanimicrobiota;Xenobia;Xenobiales;Xenobiaceae,superkingdom;phylum;class;order;family,81602897;2046179026;394442793;528537309;1905427563
Moorellaceae,Bacteria,44,1686722040,Bacteria;Bacillota;Moorellia;Moorellales;Moorellaceae,superkingdom;phylum;class;order;family,81602897;131003083;1523870909;261455037;1686722040
UBA5518,Bacteria,44,917532283,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;UBA5518,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;917532283
LL51,Bacteria,44,2087081382,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;LL51,superkingdom;phylum;class;order;family,81602897;605906842;1950791653;775196229;2087081382
SZUA-534,Bacteria,44,143884676,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SZUA-534,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;143884676
Caldibacillaceae,Bacteria,44,1833621001,Bacteria;Bacillota;Bacilli;Bacillales_B;Caldibacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1271882805;1833621001
Bin125,Bacteria,44,1811835003,Bacteria;Chloroflexota;Dehalococcoidia;Bin125;Bin125,superkingdom;phylum;class;order;family,81602897;510129959;1736958301;1886605170;1811835003
UBA1146,Bacteria,44,958443369,Bacteria;Planctomycetota;UBA8108;UBA1146;UBA1146,superkingdom;phylum;class;order;family,81602897;678426958;1420749771;208511511;958443369
UBA5453,Bacteria,44,418844801,Bacteria;Bacillota;Bacilli;Acholeplasmatales;UBA5453,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;305512438;418844801
Domibacillaceae,Bacteria,43,1125177947,Bacteria;Bacillota;Bacilli;Bacillales_B;Domibacillaceae,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1271882805;1125177947
UBA11579,Bacteria,43,1919133978,Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;UBA11579,superkingdom;phylum;class;order;family,81602897;510129959;1559853718;32034231;1919133978
JAIMBI01,Bacteria,43,1480261142,Bacteria;Bacillota;Sulfobacillia;Sulfobacillales;JAIMBI01,superkingdom;phylum;class;order;family,81602897;131003083;111789196;1404124915;1480261142
Bathyarchaeaceae,Archaea,43,27911521,Archaea;Thermoproteota;Bathyarchaeia;Bathyarchaeales;Bathyarchaeaceae,superkingdom;phylum;class;order;family,1337977286;1464800560;230993527;753748086;27911521
Acetivibrionaceae,Bacteria,43,1775432467,Bacteria;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1181927493;1775432467
Adiutricaceae,Bacteria,43,503250419,Bacteria;Desulfobacterota;Desulfarculia;Adiutricales;Adiutricaceae,superkingdom;phylum;class;order;family,81602897;1568916253;1252421743;43875391;503250419
Australimonadaceae,Bacteria,43,515534954,Bacteria;Chloroflexota;Dehalococcoidia;Australimonadales;Australimonadaceae,superkingdom;phylum;class;order;family,81602897;510129959;1736958301;2055272596;515534954
2013-40CM-41-45,Bacteria,43,618313202,Bacteria;Bacteroidota;Bacteroidia;AKYH767-A;2013-40CM-41-45,superkingdom;phylum;class;order;family,81602897;504177835;618517539;952126505;618313202
CAG-631,Bacteria,43,619405678,Bacteria;Bacillota;Bacilli;RFN20;CAG-631,superkingdom;phylum;class;order;family,81602897;131003083;1489315499;1827297323;619405678
Desulfosalsimonadaceae,Bacteria,43,1149727209,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosalsimonadaceae,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;100205859;1149727209
E44-bin32,Bacteria,43,501210961,Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;E44-bin32,superkingdom;phylum;class;order;family,81602897;510129959;1559853718;32034231;501210961
CAIYMF01,Bacteria,43,660167014,Bacteria;Actinomycetota;Actinomycetes;S36-B12;CAIYMF01,superkingdom;phylum;class;order;family,81602897;922471546;1737519761;1592431953;660167014
Cycloclasticaceae,Bacteria,43,1271834205,Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Cycloclasticaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;39742332;1271834205
ARS49,Archaea,43,1716758686,Archaea;Nanobdellota;Nanobdellia;Woesearchaeales;ARS49,superkingdom;phylum;class;order;family,1337977286;1140734311;507132679;559120121;1716758686
UBA12059,Bacteria,43,1901564189,Bacteria;Spirochaetota;Spirochaetia;Treponematales;UBA12059,superkingdom;phylum;class;order;family,81602897;39784000;1693206508;1171443428;1901564189
UBA6906,Bacteria,42,1987665298,Bacteria;Bacteroidota_A;UBA10030;UBA10030;UBA6906,superkingdom;phylum;class;order;family,81602897;95618103;1931482701;1456845952;1987665298
Methanocomedenaceae,Archaea,42,835692042,Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanocomedenaceae,superkingdom;phylum;class;order;family,1337977286;187206606;1298112782;1152356555;835692042
UBA7434,Bacteria,42,685343515,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;UBA7434,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;1250912789;685343515
JADIYW01,Bacteria,42,335174,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;JADIYW01,superkingdom;phylum;class;order;family,81602897;504177835;618517539;692377512;335174
JAGOQP01,Bacteria,42,937207179,Bacteria;Patescibacteriota;Minisyncoccia;UBA6257;JAGOQP01,superkingdom;phylum;class;order;family,81602897;1184272463;283916658;370345088;937207179
Thermoleophilaceae,Bacteria,42,92232872,Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Thermoleophilaceae,superkingdom;phylum;class;order;family,81602897;922471546;856265850;2135280075;92232872
Kordiimonadaceae,Bacteria,42,1790932630,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Kordiimonadaceae,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;1968682271;1790932630
Thermacetogeniaceae,Bacteria,42,928017359,Bacteria;Bacillota;DSM-12270;Thermacetogeniales;Thermacetogeniaceae,superkingdom;phylum;class;order;family,81602897;131003083;1863878811;580248617;928017359
UBA8248,Bacteria,41,1662758038,Bacteria;UBA8248;UBA8248;UBA8248;UBA8248,superkingdom;phylum;class;order;family,81602897;1301243328;1294195958;283854709;1662758038
CADCSY01,Bacteria,41,430157654,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;CADCSY01,superkingdom;phylum;class;order;family,81602897;922471546;377422747;1596481911;430157654
Chthonomonadaceae,Bacteria,41,1431943789,Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae,superkingdom;phylum;class;order;family,81602897;386011820;596142769;1825334808;1431943789
SZUA-584,Bacteria,41,1453035019,Bacteria;Bacillota;Clostridia;Christensenellales;SZUA-584,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1390569891;1453035019
UBA828,Bacteria,41,717839868,Bacteria;Pseudomonadota;Alphaproteobacteria;UBA828;UBA828,superkingdom;phylum;class;order;family,81602897;1712663402;623498299;23150669;717839868
Thermoproteaceae,Archaea,40,1283873811,Archaea;Thermoproteota;Thermoprotei;Thermoproteales;Thermoproteaceae,superkingdom;phylum;class;order;family,1337977286;1464800560;349070963;1640701;1283873811
Thermoanaerobaculaceae,Bacteria,40,475541714,Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae,superkingdom;phylum;class;order;family,81602897;884358093;468001233;508831689;475541714
SCQP01,Bacteria,40,1996292080,Bacteria;Acidobacteriota;Terriglobia;Terriglobales;SCQP01,superkingdom;phylum;class;order;family,81602897;884358093;1682859313;352038178;1996292080
WQUN01,Bacteria,40,850603259,Bacteria;Bacillota;Clostridia;Lachnospirales;WQUN01,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;827000254;850603259
Arenicellaceae,Bacteria,40,1508110768,Bacteria;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;897987943;1508110768
UBA164,Archaea,40,178155652,Archaea;Thermoproteota;Nitrososphaeria;Conexivisphaerales;UBA164,superkingdom;phylum;class;order;family,1337977286;1464800560;283310308;1436209830;178155652
UBA12075,Bacteria,40,1992635962,Bacteria;Patescibacteriota;Patescibacteriia;Patescibacteriales;UBA12075,superkingdom;phylum;class;order;family,81602897;1184272463;965080414;1856318529;1992635962
2-01-FULL-45-10,Bacteria,40,1303174619,Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10,superkingdom;phylum;class;order,81602897;1725231264;1822347176;1303174619
LOWO2-01-FULL-3,Bacteria,40,1752541753,Bacteria;Patescibacteriota;Gracilibacteria;UBA1369;LOWO2-01-FULL-3,superkingdom;phylum;class;order;family,81602897;1184272463;168402977;877497354;1752541753
Aquiviventaceae,Bacteria,40,734046921,Bacteria;Omnitrophota;Koll11;Aquiviventales;Aquiviventaceae,superkingdom;phylum;class;order;family,81602897;1725231264;1822347176;1593252373;734046921
Desulfurobacteriaceae,Bacteria,40,741626943,Bacteria;Aquificota;Aquificia;Desulfurobacteriales;Desulfurobacteriaceae,superkingdom;phylum;class;order;family,81602897;2135047596;1168587713;417841763;741626943
Anaerosomataceae,Bacteria,40,858497820,Bacteria;Actinomycetota;Coriobacteriia;Anaerosomatales;Anaerosomataceae,superkingdom;phylum;class;order;family,81602897;922471546;925602908;1318092417;858497820
Sulfuricellaceae,Bacteria,39,562641598,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;2074272703;562641598
NBVN01,Archaea,39,1522677382,Archaea;Thermoproteota;Thermoprotei_A;Sulfolobales;NBVN01,superkingdom;phylum;class;order;family,1337977286;1464800560;2007172793;1518782427;1522677382
UBA3824,Bacteria,39,1411791501,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA3824,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;1411791501
UBA4417,Bacteria,39,995753819,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA4417,superkingdom;phylum;class;order;family,81602897;504177835;618517539;592771697;995753819
Natronogracilivirgulaceae,Bacteria,39,805293471,Bacteria;Bacteroidota_A;Rhodothermia;Balneolales;Natronogracilivirgulaceae,superkingdom;phylum;class;order;family,81602897;95618103;1782953179;1902415519;805293471
UBA6901,Bacteria,39,349640344,Bacteria;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;UBA6901,superkingdom;phylum;class;order;family,81602897;1712663402;1969409366;969522714;349640344
UBA5734,Bacteria,39,593441185,Bacteria;Bacillota;Clostridia;Saccharofermentanales;UBA5734,superkingdom;phylum;class;order;family,81602897;131003083;1705696207;1146971457;593441185
GCA-2862545,Bacteria,39,601557421,Bacteria;Myxococcota;UBA796;UBA796;GCA-2862545,superkingdom;phylum;class;order;family,81602897;1995082271;1870581303;537560813;601557421
GBS-DC,Bacteria,39,1953484008,Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC,superkingdom;phylum;class;order;family,81602897;386011820;432136329;802299120;1953484008
F1-60-MAGs149,Bacteria,39,1897686512,Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;F1-60-MAGs149,superkingdom;phylum;class;order;family,81602897;922471546;856265850;1177044796;1897686512
Nautiliaceae,Bacteria,39,923061254,Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae,superkingdom;phylum;class;order;family,81602897;1536518028;1492690008;380566481;923061254
C00003060,Bacteria,39,901065403,Bacteria;Desulfobacterota;Desulfobacteria;C00003060;C00003060,superkingdom;phylum;class;order;family,81602897;1568916253;276271284;1046059502;901065403
