unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified genus entries: 50,844 of 70,899 total",,,,,,,
Eurotiomycetes.U.genus,381,3580,Opisthokonta,Eurotiomycetes,Eurotiomycetes.U.genus,Opisthokonta|Eurotiomycetes|Eurotiomycetes.U.genus,IMG_3300039109.a_Ga0120178_004481; IMG_3300011432.a_Ga0137428_1001754_1; REF_SPR_EF413600.1.3847_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Eurotiomycetes_Polyblastia_Polyblastia_melaspora
Mollusca.U.genus,353,2354,Opisthokonta,Mollusca.U.family,Mollusca.U.genus,Opisthokonta|Mollusca.U.family|Mollusca.U.genus,REF_SPR_AF120520.1.2239_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_caribaea; REF_SPR_FJ917203.1.2175_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_elongatospira; REF_SPR_FJ917449.1.2172_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Pleurobranchaea_meckeli
Agaricomycotina.U.genus,328,2666,Opisthokonta,Agaricomycotina.U.family,Agaricomycotina.U.genus,Opisthokonta|Agaricomycotina.U.family|Agaricomycotina.U.genus,IMG_3300036819.a_Ga0376689_0010566; IMG_3300013786.a_Ga0180413_10333; REF_SPR_KY964761.1.3428_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Pucciniomycotina_Pucciniomycetes_Pucciniales_Pucciniaceae_Gymnosporangium_Gymnosporangium_juniperi-virginianae
Craniata_X.U.genus,326,2470,Opisthokonta,Craniata_X.U.family,Craniata_X.U.genus,Opisthokonta|Craniata_X.U.family|Craniata_X.U.genus,IMG_3300014042.a_Ga0117790_1004490; REF_SPR_KT580984.1.2058_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Cynoglossus_lineolatus; REF_SPR_GFIX01047396.524.2500_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Gadus_morhua__Atlantic_cod_
Ascomycota.U.genus,288,3632,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Chromadorea_X.U.genus,282,791,Opisthokonta,Chromadorea_X,Chromadorea_X.U.genus,Opisthokonta|Chromadorea_X|Chromadorea_X.U.genus,REF_SPR_LC147027.1.3725_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Tylenchomorpha_sp._Spondylis_PT; REF_SPR_KY907662.1.3256_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Neotylenchidae_gen._sp._1_QY-2017; REF_SPR_KJ934162.1.2557_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Hemicriconemoides_chitwoodi
Saccharomycotina.U.genus,259,3098,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
Anthozoa.U.genus,248,2766,Opisthokonta,Anthozoa,Anthozoa.U.genus,Opisthokonta|Anthozoa|Anthozoa.U.genus,REF_SPR_HG931673.1.2709_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Cnidaria_Cnidaria_X_Scyphozoa_Phyllorhiza_Phyllorhiza_punctata; REF_SPR_KT722439.1.1960_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Symplectoscyphus_curvatus; REF_SPR_KT722383.1.1934_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Antarctoscyphus_grandis
Leotiomycetes.U.genus,230,1747,Opisthokonta,Leotiomycetes,Leotiomycetes.U.genus,Opisthokonta|Leotiomycetes|Leotiomycetes.U.genus,IMG_3300023101.a_Ga0224557_1003928; IMG_3300038479.a_Ga0436674_0007308_1; IMG_3300035172.a_Ga0373955_0006713
Saccharomycetales.U.genus,190,1145,Opisthokonta,Saccharomycetales,Saccharomycetales.U.genus,Opisthokonta|Saccharomycetales|Saccharomycetales.U.genus,REF_SPR_AY845351.1.2337_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Debaryomycetaceae_Scheffersomyces_Candida_lignicola; REF_SPR_JQ038035.1.2289_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Incertae_Sedis_Kuraishia_Kuraishia_borneana; REF_SPR_AB514601.1.2205_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Metschnikowiaceae_Metschnikowia_uncultured_fungus
Maxillopoda.U.genus,155,2107,Opisthokonta,Maxillopoda,Maxillopoda.U.genus,Opisthokonta|Maxillopoda|Maxillopoda.U.genus,IMG_3300023179.a_Ga0214923_10015406; REF_SPR_AB625967.1.2136_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridia_asymmetrica; REF_SPR_AB625960.1.2064_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Gaetanus_variabilis
Turbellaria.U.genus,153,634,Opisthokonta,Turbellaria.U.family,Turbellaria.U.genus,Opisthokonta|Turbellaria.U.family|Turbellaria.U.genus,REF_SPR_DQ826573.1.2221_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Akentrogonida_Thompsonia_littoralis; REF_SPR_AY775764.1.1944_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Proxenetes_flabellifer; REF_SPR_AY775770.1.1876_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Ptychopera_westbladi
Arthropoda.U.genus,138,741,Opisthokonta,Arthropoda.U.family,Arthropoda.U.genus,Opisthokonta|Arthropoda.U.family|Arthropoda.U.genus,REF_SPR_AF332146.1.2659_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Cyathura_Cyathura_carinata; REF_SPR_JF699547.1.2547_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Exosphaeroma_Exosphaeroma_sp.; REF_SPR_AF255703.1.2532_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Colubotelson_Colubotelson_thomsoni
Mammalia.U.genus,122,564,Opisthokonta,Mammalia,Mammalia.U.genus,Opisthokonta|Mammalia|Mammalia.U.genus,REF_SPR_BC025983.1.2414_U_18S_rRNA_nucleus_clone_IMAGE_4025331_Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Homo_Homo_sapiens; REF_SPR_GECJ01038665.1.1942_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis; REF_SPR_GECJ01013363.1.1920_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Enoplea_Dorylaimia_Trichocephalida_Trichinella_pseudospiralis
Lecanoromycetes.U.genus,116,343,Opisthokonta,Lecanoromycetes,Lecanoromycetes.U.genus,Opisthokonta|Lecanoromycetes|Lecanoromycetes.U.genus,REF_SPR_AJ549810.1.3091_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Leotiomycetes_Helotiales_Tornabea_Tornabea_scutellifera; REF_SPR_KJ766684.1.2890_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Alectoria_Alectoria_ochroleuca; REF_SPR_AY640991.1.2533_G_18S_rRNA_nucleus_specimen_Reeb_VR_8-VII-98_19__DUKE__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Lecanoromycetes_Glypholecia_Glypholecia_scabra
Rotifera_XX.U.genus,113,1652,Opisthokonta,Rotifera_XX,Rotifera_XX.U.genus,Opisthokonta|Rotifera_XX|Rotifera_XX.U.genus,IMG_3300006112.a_Ga0007857_1009312; IMG_3300006116.a_Ga0007807_1005623; REF_SPR_AF499747.1.1820_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Bryozoa_Gymnolaemata_Cheilostomatida_Parasmittina_sp._HYL-2002
Branchiopoda.U.genus,100,673,Opisthokonta,Branchiopoda,Branchiopoda.U.genus,Opisthokonta|Branchiopoda|Branchiopoda.U.genus,REF_SPR_GDIP01028159.8255.10682_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Branchiopoda_Phyllopoda_Diplostraca_Daphnia_magna; IMG_3300037346.a_Ga0400280_002143; IMG_3300003818.a_Ga0007841_100047
Arachnida.U.genus,65,128,Opisthokonta,Arachnida,Arachnida.U.genus,Opisthokonta|Arachnida|Arachnida.U.genus,REF_SPR_KJ841943.1.2371_U_18S_rRNA_nucleus_specimen_NJAUEriGUA_Eukaryota_Opisthokonta_Metazoa_Arthropoda_Chelicerata_Arachnida_Epitrimerus_Epitrimerus_sabinae; IMG_3300009697.a_Ga0116231_10033396; REF_SPR_KJ841941.1.2328_U_18S_rRNA_nucleus_specimen_NJAUEriHN13_Eukaryota_Opisthokonta_Metazoa_Arthropoda_Chelicerata_Arachnida_Asetacus_Asetacus_cunninghamiae
Mucoromycotina.U.genus,57,363,Opisthokonta,Mucoromycotina.U.family,Mucoromycotina.U.genus,Opisthokonta|Mucoromycotina.U.family|Mucoromycotina.U.genus,IMG_3300049447.a_Ga0497419_0000879; IMG_3300028452.a_Ga0307247_10019571; IMG_3300036792.a_Ga0376663_0010962
Tremellomycetes.U.genus,52,151,Opisthokonta,Tremellomycetes,Tremellomycetes.U.genus,Opisthokonta|Tremellomycetes|Tremellomycetes.U.genus,IMG_3300007505.a_Ga0105005_1040510; REF_SPR_D31651.1.1866_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Tremellomycetes_Tremellales_Sugitazyma_Sugitazyma_miyagiana; IMG_3300046380.a_Ga0494111_0006115
Ustilaginomycotina.U.genus,43,1134,Opisthokonta,Ustilaginomycotina.U.family,Ustilaginomycotina.U.genus,Opisthokonta|Ustilaginomycotina.U.family|Ustilaginomycotina.U.genus,IMG_3300021435.a_Ga0214095_1000002; IMG_3300007015.a_Ga0104053_102086; REF_SPR_HQ191282.1.3527_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Ustilaginomycotina_Exobasidiomycetes_Exobasidiales_Exobasidiaceae_Exobasidium_uncultured_Dikarya
Annelida_XX.U.genus,40,202,Opisthokonta,Annelida_XX,Annelida_XX.U.genus,Opisthokonta|Annelida_XX|Annelida_XX.U.genus,IMG_3300036938.a_Ga0392316_0001698; IMG_3300036924.a_Ga0392304_001150; REF_SPR_HM042111.1.1997_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Annelida_Annelida_X_Annelida_XX_Novafabricia_Novafabricia_labrus
Basidiomycota.U.genus,32,88,Opisthokonta,Basidiomycota.U.family,Basidiomycota.U.genus,Opisthokonta|Basidiomycota.U.family|Basidiomycota.U.genus,IMG_3300035696.a_Ga0374055_0074138; IMG_3300023106.a_Ga0247809_1000545; REF_SPR_D38239.1.2658_G_18S_rRNA_nucleus_strain_JCM_2896_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Pucciniomycotina_Agaricostilbomycetes_Bensingtonia_Bensingtonia_yamatoana
Rhizophydiales.U.genus,29,107,Opisthokonta,Rhizophydiales.U.family,Rhizophydiales.U.genus,Opisthokonta|Rhizophydiales.U.family|Rhizophydiales.U.genus,IMG_3300044844.a_Ga0453102_0005317; REF_SPR_HQ191426.1.2366_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota; REF_SPR_HQ191296.1.2355_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Rhizophydiales_Kappamycetaceae_uncultured_Chytridiomycota
Taphrinomycotina.U.genus,17,110,Opisthokonta,Taphrinomycotina.U.family,Taphrinomycotina.U.genus,Opisthokonta|Taphrinomycotina.U.family|Taphrinomycotina.U.genus,IMG_3300044718.a_Ga0467061_0003738; IMG_3300045257.a_Ga0467023_0004992; IMG_3300038479.a_Ga0436674_0002499_1
Zoopagomycota_XX.U.genus,6,25,Opisthokonta,Zoopagomycota_XX,Zoopagomycota_XX.U.genus,Opisthokonta|Zoopagomycota_XX|Zoopagomycota_XX.U.genus,IMG_3300013307.a_Ga0157372_10033020; IMG_3300009551.a_Ga0105238_10007979_1; IMG_3300025914.a_Ga0207671_10033577
Neocallimastigaceae.U.genus,6,69,Opisthokonta,Neocallimastigaceae,Neocallimastigaceae.U.genus,Opisthokonta|Neocallimastigaceae|Neocallimastigaceae.U.genus,IMG_3300005850.a_Ga0079999_13814; IMG_3300020079.a_Ga0187906_1006476; REF_SPR_FN820273.1.1763_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Mucoromycota_Glomeromycotina_Glomeromycetes_Archaeosporales_Ambisporaceae_Ambispora_Ambispora_granatensis
Blastocladiomycetes.U.genus,3,4,Opisthokonta,Blastocladiomycetes,Blastocladiomycetes.U.genus,Opisthokonta|Blastocladiomycetes|Blastocladiomycetes.U.genus,IMG_3300006378.a_Ga0075498_1069715; IMG_3300006355.a_Ga0075501_1074060; IMG_3300007304.a_Ga0102689_1064118
Zoopagomycota.U.genus,1,2,Opisthokonta,Zoopagomycota.U.family,Zoopagomycota.U.genus,Opisthokonta|Zoopagomycota.U.family|Zoopagomycota.U.genus,IMG_3300045918.a_Ga0485828_0022081
Cercozoa.U.genus,1152,3275,Rhizaria,Cercozoa.U.family,Cercozoa.U.genus,Rhizaria|Cercozoa.U.family|Cercozoa.U.genus,IMG_3300024981.a_Ga0209934_1002102; IMG_3300024981.a_Ga0209934_1002160; IMG_3300025526.a_Ga0208492_1002470
Monothalamids_X.U.genus,507,2233,Rhizaria,Monothalamids_X.U.family,Monothalamids_X.U.genus,Rhizaria|Monothalamids_X.U.family|Monothalamids_X.U.genus,REF_SPR_HM213830.1.4173_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_KF042533.1.4130_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Globothalamea_Rotaliida_Elphidiidae_Elphidium_Elphidium_excavatum; REF_SPR_AJ318224.1.4066_U_18S_rRNA_nucleus__Eukaryota_Rhizaria_Foraminifera_Monothalamids_Monothalamids_Clade-I_Monothalamids_Clade-I_X_Astrammina_Astrammina_triangularis
Polycystinea.U.genus,391,4253,Rhizaria,Polycystinea.U.family,Polycystinea.U.genus,Rhizaria|Polycystinea.U.family|Polycystinea.U.genus,REF_SPR_HQ651783.1.3714_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Phorticium_Phorticium_clevei; REF_BRK_c-135_conseq_Otu555_4_deep_Ms2-mes_Eukaryota_TSAR_Rhizaria_Radiolaria_Polycystinea_Spumellarida_Spumellarida-Group-I_Spumellarida-Group-I_X_Spumellarida-Group-I_X_sp_Species; REF_SPR_KP175030.1.2281_Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_Spumellaria_Astrosphaera_uncultured_spumellarian
Foraminifera.U.genus,322,2196,Rhizaria,Foraminifera.U.family,Foraminifera.U.genus,Rhizaria|Foraminifera.U.family|Foraminifera.U.genus,IMG_3300010985.a_Ga0138326_10258234; REF_SPR_M20154.1.4194_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Mus_Mus_musculus; IMG_3300030752.a_Ga0073953_11461494
Vampyrellida.U.genus,315,1110,Rhizaria,Vampyrellida.U.family,Vampyrellida.U.genus,Rhizaria|Vampyrellida.U.family|Vampyrellida.U.genus,IMG_3300004627.a_Ga0066629_1021251; IMG_3300015615.a_Ga0183872_10630397_1; IMG_3300045391.a_Ga0438458_00330348
Radiolaria.U.genus,272,1717,Rhizaria,Radiolaria.U.family,Radiolaria.U.genus,Rhizaria|Radiolaria.U.family|Radiolaria.U.genus,REF_SPR_HQ651785.1.3845_Eukaryota_SAR_Rhizaria_Retaria_RAD_B_Sticholonche_sp._JB-2011; IMG_3300031800.a_Ga0310122_10008125; IMG_3300020457.a_Ga0211643_10049411
Nassellaria.U.genus,209,918,Rhizaria,Nassellaria.U.family,Nassellaria.U.genus,Rhizaria|Nassellaria.U.family|Nassellaria.U.genus,IMG_3300032278.a_Ga0310345_10012430; IMG_3300003880.a_Ga0063278_1000058; IMG_3300026202.a_Ga0207984_1003241
Thaumatomonadida.U.genus,88,597,Rhizaria,Thaumatomonadida.U.family,Thaumatomonadida.U.genus,Rhizaria|Thaumatomonadida.U.family|Thaumatomonadida.U.genus,IMG_3300007510.a_Ga0105013_1016087; IMG_3300021964.a_Ga0222719_10028737; IMG_3300037427.a_Ga0315325_0038382
Filosa-Thecofilosea.U.genus,33,84,Rhizaria,Filosa-Thecofilosea.U.family,Filosa-Thecofilosea.U.genus,Rhizaria|Filosa-Thecofilosea.U.family|Filosa-Thecofilosea.U.genus,REF_SPR_AB714270.1.2920_Eukaryota_SAR_Rhizaria_Cercozoa_Imbricatea_Silicofilosea_Thaumatomonadida_Peregriniidae_Esquamula_Esquamula_lacrimiformis; IMG_3300028795.a_Ga0302227_10007158_1; IMG_3300044512.a_Ga0453786_0003818
Filosa-Sarcomonadea.U.genus,31,82,Rhizaria,Filosa-Sarcomonadea.U.family,Filosa-Sarcomonadea.U.genus,Rhizaria|Filosa-Sarcomonadea.U.family|Filosa-Sarcomonadea.U.genus,IMG_3300020123.a_Ga0210607_13584687_1; IMG_3300029910.a_Ga0311369_10083986; REF_BRK_c-1160_conseq_Otu0428_25_soil_Sweden_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Sarcomonadea_Glissomonadida_Order
Glissomonadida.U.genus,21,102,Rhizaria,Glissomonadida.U.family,Glissomonadida.U.genus,Rhizaria|Glissomonadida.U.family|Glissomonadida.U.genus,IMG_3300008114.a_Ga0114347_1023095; IMG_3300046507.a_Ga0495606_0090143; IMG_3300022750.a_Ga0247812_10029614
Cryomonadida.U.genus,5,7,Rhizaria,Cryomonadida.U.family,Cryomonadida.U.genus,Rhizaria|Cryomonadida.U.family|Cryomonadida.U.genus,REF_SPR_KC488564.1.1599_Eukaryota_SAR_Rhizaria_Cercozoa_Chlorarachniophyta_Minorisa_uncultured_Rhizaria; REF_BRK_m64077_200210_022006_134284479_ccs_double-barcode_Otu0679_2_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Protaspa-lineage_Protaspa-lineage_X_Protaspa-lineage_X_sp_Species; REF_BRK_c-3789_conseq_Otu0552_3_surface_WC-sur_Eukaryota_TSAR_Rhizaria_Cercozoa_Filosa-Thecofilosea_Cryomonadida_Order
Cercomonadidae.U.genus,2,3,Rhizaria,Cercomonadidae,Cercomonadidae.U.genus,Rhizaria|Cercomonadidae|Cercomonadidae.U.genus,REF_SPR_AY180023.1.1743_Eukaryota_SAR_Rhizaria_Cercozoa_Novel_Clade_10_uncultured_Cercozoa; REF_SPR_EU701011.1.2120_UC_18S_rRNA_nucleus__Eukaryota_Rhizaria_Cercozoa_Endomyxa-Phytomyxea_Plasmodiophorida_Plasmodiophoridae_Plasmodiophora_Plasmodiophora_brassicae
Rhizaria.U.genus,2,3,Rhizaria,Rhizaria.U.family,Rhizaria.U.genus,Rhizaria|Rhizaria.U.family|Rhizaria.U.genus,IMG_3300036716.a_Ga0315323_0063175; IMG_3300009130.a_Ga0118729_1168182
Rigifilida_XXXX.U.genus,54,201,Rigifilida,Rigifilida_XXXX,Rigifilida_XXXX.U.genus,Rigifilida|Rigifilida_XXXX|Rigifilida_XXXX.U.genus,IMG_3300043427.a_Ga0451747_0047005; REF_SPR_JQ684704.1.1766_U_18S_rRNA_nucleus_specimen_ENCB_19524_Eukaryota_Archaeplastida_Rhodophyta_Bangiophyceae_Bangiales_Bangiaceae_Pyropia_Pyropia_raulaguilarii; REF_SPR_AY268038.1.1731_Eukaryota_Amorphea_Amoebozoa_Incertae_Sedis_Rigifilida_Micronuclearia_Micronuclearia_podoventralis
Stramenopiles.U.genus,1038,7804,Stramenopiles,Stramenopiles.U.family,Stramenopiles.U.genus,Stramenopiles|Stramenopiles.U.family|Stramenopiles.U.genus,IMG_3300022659.a_Ga0248194_14304580; IMG_3300027786.a_Ga0209812_10003318; IMG_3300022468.a_Ga0233289_14264464
Gyrista.U.genus,833,3060,Stramenopiles,Gyrista.U.family,Gyrista.U.genus,Stramenopiles|Gyrista.U.family|Gyrista.U.genus,IMG_3300039159.a_Ga0400140_002040; IMG_3300027777.a_Ga0209829_10005881; IMG_3300031222.a_Ga0307972_1001373
Bicoecea.U.genus,280,1227,Stramenopiles,Bicoecea.U.family,Bicoecea.U.genus,Stramenopiles|Bicoecea.U.family|Bicoecea.U.genus,IMG_3300043421.a_Ga0451740_0001287; IMG_3300044986.a_Ga0485163_0046950; IMG_3300042520.a_Ga0453218_0017300
Opalozoa.U.genus,218,1086,Stramenopiles,Opalozoa.U.family,Opalozoa.U.genus,Stramenopiles|Opalozoa.U.family|Opalozoa.U.genus,IMG_3300025577.a_Ga0209304_1002615; IMG_3300006636.a_Ga0075525_10000970; REF_SPR_HQ219411.1.2449_Eukaryota_SAR_Stramenopiles_MAST-12_uncultured_stramenopile
Thalassiosirales.U.genus,53,222,Stramenopiles,Thalassiosirales.U.family,Thalassiosirales.U.genus,Stramenopiles|Thalassiosirales.U.family|Thalassiosirales.U.genus,IMG_3300022202.a_Ga0224498_10000434; REF_BRK_m64077_200204_130436_82706899_ccs_single-barcode_Otu0755_2_freshwater_Erken-fw_Eukaryota_TSAR_Stramenopiles_Gyrista_Diatomeae_Mediophyceae_Thalassiosirophycidae_Family; REF_SPR_MG972341.1.3209_G_18S_rRNA_nucleus__Eukaryota_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophyta_X_Polar-centric-Mediophyceae_Chaetoceros_Chaetoceros_diversus_2
Peronosporomycetes_X.U.genus,44,130,Stramenopiles,Peronosporomycetes_X.U.family,Peronosporomycetes_X.U.genus,Stramenopiles|Peronosporomycetes_X.U.family|Peronosporomycetes_X.U.genus,IMG_3300042349.a_Ga0453943_0001734; IMG_3300037257.a_Ga0397553_0000175; IMG_3300009073.a_Ga0114957_1005582
Bigyra.U.genus,30,244,Stramenopiles,Bigyra.U.family,Bigyra.U.genus,Stramenopiles|Bigyra.U.family|Bigyra.U.genus,IMG_3300025545.a_Ga0209142_1003877; IMG_3300021338.a_Ga0213839_1007792; IMG_3300034068.a_Ga0334990_0016010
Labyrinthulomycetes.U.genus,19,33,Stramenopiles,Labyrinthulomycetes.U.family,Labyrinthulomycetes.U.genus,Stramenopiles|Labyrinthulomycetes.U.family|Labyrinthulomycetes.U.genus,REF_SPR_AF304465.1.2101_Eukaryota_SAR_Stramenopiles_Labyrinthulomycetes_Amphitraemidae_Diplophrys_sp._ATCC_50360; IMG_3300030843.a_Ga0075392_10064645; REF_BRK_m64077_200208_195333_87032648_ccs_single-barcode_Otu1374_2_freshwater_Erken-sed_Eukaryota_TSAR_Stramenopiles_Bigyra_Sagenista_Labyrinthulomycetes_Amphitremida_Diplophrys_Diplophrys_sp_Species
Peronosporales.U.genus,4,45,Stramenopiles,Peronosporales,Peronosporales.U.genus,Stramenopiles|Peronosporales|Peronosporales.U.genus,IMG_3300049629.a_Ga0504420_0005178; REF_SPR_FLLY01000077.696.2480_Eukaryota_SAR_Alveolata_uncultured_seawater_metagenome; REF_SPR_JX840890.1.1235_Eukaryota_SAR_Stramenopiles_MAST-3_MAST-3B_uncultured_stramenopile
