genus,domain,genus_counts,taxid,lineage,lineage_ranks,lineage_taxids
Labilibaculum,Bacteria,21,2060722.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinifilaceae;Labilibaculum,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;1970189;1573805;2060722
Synergistes,Bacteria,20,2753.0,cellular organisms;Bacteria;Thermotogati;Synergistota;Synergistia;Synergistales;Synergistaceae;Synergistes,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3384194;508458;649775;649776;649777;2753
Bryobacter,Bacteria,20,911113.0,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;Bryobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;57723;204432;332160;1962910;911113
Catenulispora,Bacteria,20,414878.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;414714;414877;414878
Congzhengia,Bacteria,20,2944150.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Congzhengia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;216572;2944150
Simplicispira,Bacteria,20,352450.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;80864;352450
Methanothermococcus,Archaea,20,155862.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2283794;183939;2182;2183;155862
Leadbetterella,Bacteria,20,319458.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Leadbetterellaceae;Leadbetterella,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;768503;768507;3141702;319458
Hanamia,Bacteria,20,2930254.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Hanamia,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;1853228;1853229;563835;2930254
Desulfopila,Bacteria,20,429014.0,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfopila,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200940;3031451;3024411;2886822;429014
Intrasporangium,Bacteria,20,53357.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Intrasporangium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85006;85021;53357
Scandinavium,Bacteria,20,2726810.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Scandinavium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;91347;543;2726810
Paenirhodobacter,Bacteria,20,1470577.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacter group;Paenirhodobacter,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;3379134;1224;28211;204455;3374108;1470577
Candidatus Avimonas,Bacteria,20,2720801.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Clostridia incertae sedis;Candidatus Avimonas,cellular root;domain;kingdom;phylum;class;no rank;genus,131567;2;1783272;1239;186801;189325;2720801
Domibacillus,Bacteria,20,1433999.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Domibacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;1433999
Cognaticolwellia,Bacteria,20,2848171.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Cognaticolwellia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135622;267889;2848171
Roseococcus,Bacteria,20,35812.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;3120395;3385906;35812
Oceanospirillum,Bacteria,20,965.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135619;135620;965
Candidatus Dasytiphilus,Bacteria,20,3121261.0,"cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae incertae sedis;ant, tsetse, mealybug, aphid, etc. endosymbionts;Candidatus Dasytiphilus",cellular root;domain;kingdom;phylum;class;order;family;no rank;clade;genus,131567;2;3379134;1224;1236;91347;543;191675;84563;3121261
Anaeroglobus,Bacteria,20,156454.0,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;909932;1843489;31977;156454
Uliginosibacterium,Bacteria,20,392735.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;206389;2008794;392735
Methylovulum,Bacteria,20,762296.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylovulum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135618;403;762296
Oscillatoria,Bacteria,20,1158.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Oscillatoria,cellular root;domain;kingdom;clade;phylum;class;subclass;order;family;genus,131567;2;1783272;1798711;1117;3028117;1301283;1150;1892254;1158
Scytonema,Bacteria,20,1203.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Scytonemataceae;Scytonema,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;1783272;1798711;1117;3028117;1161;1182;1203
Candidatus Elarobacter,Bacteria,20,2829313.0,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota;Vulcanimicrobiia;Vulcanimicrobiales;Vulcanimicrobiaceae;Candidatus Elarobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1154676;2829293;2599632;2829291;2829313
Candidatus Allocopromorpha,Bacteria,20,2840610.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacteriaceae incertae sedis;Candidatus Allocopromorpha,cellular root;domain;kingdom;phylum;class;order;family;no rank;genus,131567;2;1783272;1239;186801;186802;186806;2840492;2840610
Phormidesmis,Bacteria,20,1005722.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;1783272;1798711;1117;3028117;3079749;1890438;1005722
Hominilimicola,Bacteria,20,3073565.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Hominilimicola,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;216572;3073565
Grimontia,Bacteria,20,246861.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Grimontia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135623;641;246861
Hydrocarboniphaga,Bacteria,20,243627.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Hydrocarboniphaga,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;1775403;568386;243627
Tolypothrix,Bacteria,20,111782.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Tolypothrichaceae;Tolypothrix,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;1783272;1798711;1117;3028117;1161;119859;111782
Kordia,Bacteria,20,221065.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Kordia,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;117743;200644;49546;221065
Candidatus Multivorans,Bacteria,20,3004231.0,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Candidatus Multivoradales;Candidatus Multivoraceae;Candidatus Multivorans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;57723;1562571;3004229;3004230;3004231
Salinivenus,Bacteria,20,1853226.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Rhodothermota;Rhodothermia;Rhodothermales;Salinibacteraceae;Salinivenus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;1853220;1853222;1853224;1853225;1853226
Telmatospirillum,Bacteria,20,382513.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Telmatospirillum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204441;41295;382513
Aphanothece,Bacteria,20,1121.0,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Aphanothece,cellular root;domain;kingdom;clade;phylum;class;subclass;order;family;genus,131567;2;1783272;1798711;1117;3028117;1301283;1118;1890450;1121
Candidatus Nanopusillus,Archaea,20,1890407.0,cellular organisms;Archaea;Nanobdellati;Nanobdellota;Candidatus Nanoarchaeia;Nanoarchaeales;Nanopusillaceae;Candidatus Nanopusillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2157;1783276;192989;2885752;1890940;1890942;1890407
Acidianus,Archaea,20,12914.0,cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2157;1783275;28889;183924;2281;118883;12914
Xylophilus,Bacteria,19,3109381.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Eucnemidae;Xylophilus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;superfamily;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7041;41084;41087;71193;195229;3109381
Modicisalibacter,Bacteria,19,574347.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Modicisalibacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135619;28256;574347
Sunxiuqinia,Bacteria,19,1254401.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Sunxiuqinia,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;1970189;1471398;1254401
Terasakiella,Bacteria,19,196080.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204441;2813951;196080
Aliidiomarina,Bacteria,19,1249554.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Aliidiomarina,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135622;267893;1249554
Rhodospirillum,Bacteria,19,1081.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204441;41295;1081
Geoglobus,Archaea,19,190818.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Geoglobus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2157;3366610;28890;183980;2231;2232;190818
Lacisediminihabitans,Bacteria,19,2740558.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Lacisediminihabitans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85006;85023;2740558
Ahrensia,Bacteria,19,152180.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Ahrensiaceae;Ahrensia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;2829814;152180
Holophaga,Bacteria,19,35838.0,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;57723;533205;574975;574976;35838
Algiphilus,Bacteria,19,1266053.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Algiphilaceae;Algiphilus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;1775403;1266054;1266053
Hydrogenimonas,Bacteria,19,223785.0,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Hydrogenimonadaceae;Hydrogenimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;29547;3031852;213849;292630;223785
Ructibacterium,Bacteria,19,2884634.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ructibacterium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;186802;216572;2884634
Candidatus Hydrogenedens,Bacteria,19,1462415.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Hydrogenedentota;Candidatus Hydrogenedentia;Candidatus Hydrogenedentales;Candidatus Hydrogenedentaceae;Candidatus Hydrogenedens,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;142187;3118731;3118729;3118728;1462415
Pseudalkalibacillus,Bacteria,19,2893058.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Fictibacillaceae;Pseudalkalibacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;3120697;2893058
Euzebya,Bacteria,19,908623.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;908620;908621;908622;908623
Candidatus Stercoripulliclostridium,Bacteria,19,2840600.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Candidatus Stercoripulliclostridium,cellular root;domain;kingdom;phylum;class;order;no rank;genus,131567;2;1783272;1239;186801;186802;538999;2840600
Methylacidiphilum (ex Ratnadevi et al. 2023),Bacteria,19,511745.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum (ex Ratnadevi et al. 2023),cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;74201;1955630;717963;717964;511745
Oricola,Bacteria,19,1594166.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Ahrensiaceae;Oricola,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;2829814;1594166
Planktotalea,Bacteria,19,1195766.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Planktotalea,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;1195766
Cognatishimia,Bacteria,19,2211635.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cognatishimia,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;2211635
Streptomonospora,Bacteria,19,104204.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsidaceae;Streptomonospora,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85012;83676;104204
Pseudobdellovibrio,Bacteria,19,2862745.0,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Pseudobdellovibrio,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;3018035;3031418;213481;213483;2862745
Mycetohabitans,Bacteria,19,2571159.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Mycetohabitans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;119060;2571159
Saccharibacillus,Bacteria,19,456492.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186822;456492
Sulfurihydrogenibium,Bacteria,19,212790.0,cellular organisms;Bacteria;Pseudomonadati;Aquificota;Aquificia;Aquificales;Hydrogenothermaceae;Sulfurihydrogenibium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200783;187857;32069;224027;212790
Desulfosalsimonas,Bacteria,19,377149.0,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosalsimonadaceae;Desulfosalsimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;200940;3024418;213118;2904714;377149
Mycoavidus,Bacteria,19,1810868.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Mycoavidus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;119060;1810868
Embleya,Bacteria,19,2699295.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Embleya,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;1760;85011;2062;2699295
Emcibacter,Bacteria,19,1602338.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Emcibacterales;Emcibacteraceae;Emcibacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;2066490;2066491;1602338
Leptothrix,Bacteria,19,1907117.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Orbiculariae;Araneoidea;Linyphiidae;Erigoninae;Leptothrix,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class;order;suborder;clade;clade;superfamily;family;subfamily;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6893;6905;74971;74974;74975;81835;247617;1907117
Defluviimonas,Bacteria,19,1097466.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Defluviimonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;31989;1097466
Rhodothermus,Bacteria,18,29548.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Rhodothermota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;1853220;1853222;1853224;563843;29548
Fluoribacter,Bacteria,18,461.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Fluoribacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;118969;444;461
Candidatus Nitrosomaritimum,Archaea,18,3342351.0,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosomaritimum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2157;1783275;651137;1643678;31932;338190;3342351
Pectinatus,Bacteria,18,864.0,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Pectinatus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;909932;909929;1843491;864
Agriterribacter,Bacteria,18,2821507.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Agriterribacter,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;1853228;1853229;563835;2821507
Denitromonas,Bacteria,18,139331.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Denitromonas,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;206389;2008794;139331
Nosocomiicoccus,Bacteria,18,489909.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Nosocomiicoccus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;90964;489909
Candidatus Finniella,Bacteria,18,1777753.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Holosporales;Candidatus Paracaedibacteraceae;Candidatus Finniella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;1921002;1777752;1777753
Ornithinibacillus,Bacteria,18,484508.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Ornithinibacillus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186817;484508
Chelativorans,Bacteria,18,449972.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Chelativorans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;69277;449972
Tsuneonella,Bacteria,18,2800686.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204457;335929;2800686
Rubellimicrobium,Bacteria,18,295418.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Rubellimicrobium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204455;2854170;295418
Thiodictyon,Bacteria,18,53392.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiodictyon,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;135613;1046;53392
Candidatus Jettenia,Bacteria,18,360731.0,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Candidatus Brocadiia;Candidatus Brocadiales;Candidatus Brocadiaceae;Candidatus Jettenia,cellular root;domain;kingdom;clade;phylum;class;order;family;genus,131567;2;3379134;1783257;203682;2517206;1127829;1127830;360731
Thalassobaculum,Bacteria,18,526215.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;204441;2844864;526215
Planomicrobium,Bacteria,18,162291.0,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Planomicrobium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;186818;162291
Pseudacidovorax,Bacteria,18,433923.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudacidovorax,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28216;80840;80864;433923
Aquihabitans,Bacteria,18,1648491.0,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;201174;84992;84993;633392;1648491
Azorhizobium,Bacteria,18,6.0,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Azorhizobium,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;28211;356;335928;6
Natronorubrum,Archaea,18,134813.0,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natronorubrum,cellular root;domain;kingdom;phylum;clade;class;order;family;genus,131567;2157;3366610;28890;2290931;183963;2235;1644061;134813
Carboxylicivirga,Bacteria,18,1628153.0,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Carboxylicivirga,cellular root;domain;kingdom;clade;clade;phylum;class;order;family;genus,131567;2;3379134;1783270;68336;976;200643;1970189;558415;1628153
Lachnotalea,Bacteria,18,1763508.0,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnotalea,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;186801;3085636;186803;1763508
