genus,gtdb_domain,ncbi_domain,database_presence,match_status,gtdb_genome_count,gtdb_species_count,ncbi_genome_count,ncbi_species_count,reason_filtered,sample_accessions
C-53,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947088835.1, GCA_947384335.1, GCA_009911155.1, GCA_947572985.1, GCA_947650165.1"
Pluralincolimonas,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903826805.1, GCA_001805805.1, GCA_028711645.1, GCA_001805885.1, GCA_903889135.1"
XYB2-FULL-45-11,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001791715.1, GCA_001791205.1, GCA_001790825.1, GCA_026395055.1, GCA_001791455.1"
UBA3946,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030057775.1, GCA_012521265.1, GCA_937973655.1, GCA_023228385.1, GCA_029781015.1"
RGEC01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_016868535.1, GCA_947463175.1, GCA_947462755.1, GCA_947459165.1, GCA_947496375.1"
GW2011-AR17,Archaea,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_013331795.1, GCA_023245755.1, GCA_013329235.1, GCA_013330555.1, GCA_009691355.1"
QKMZ01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_014380105.1, GCA_003242885.1, GCA_020854255.1, GCA_013823055.1, GCA_937879965.1"
Xenobium,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022838225.1, GCA_012799975.1, GCA_022839105.1, GCA_002425855.1, GCA_022838625.1"
JAMCVM01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021851155.1, GCA_027449365.1, GCA_027419955.1, GCA_027419915.1, GCA_023475835.1"
UMGS1958,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946491825.1, GCA_030536655.1, GCA_938048895.1, GCA_944391605.1, GCA_946562975.1"
JAHJXP01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018825805.1, GCA_018827665.1, GCA_018901175.1, GCA_018825885.1, GCA_018819165.1"
RGIG3925,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017942005.1, GCA_017414385.1, GCA_017481495.1, GCA_017628075.1, GCA_015064785.1"
CADCVQ01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_013813955.1, GCA_030446825.1, GCA_019348435.1, GCA_030681525.1, GCA_030447505.1"
2-02-FULL-50-9b,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903826655.1, GCA_903893485.1, GCA_001782815.1, GCA_026396555.1, GCA_943355025.1"
PYGY01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_007130985.1, GCA_007120975.1, GCA_003553405.1, GCA_003560215.1, GCA_007129945.1"
JAJZKE01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027327265.1, GCA_027313205.1, GCA_027313225.1, GCA_021830595.1, GCA_027426955.1"
JAJQCF01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021204245.1, GCA_021202595.1, GCA_021200135.1, GCA_021205325.1, GCA_020860145.1"
CABYIR01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029242795.1, GCA_902536845.1, GCA_902544715.1, GCA_902553285.1, GCA_902518955.1"
JABHGM01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018698555.1, GCA_018701775.1, GCA_018652385.1, GCA_018656755.1, GCA_018663345.1"
GCA-2726865,Archaea,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030739585.1, GCA_016783485.1, GCA_020354065.1, GCA_030743655.1, GCA_030752595.1"
UBA2210,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002327865.1, GCA_016935875.1, GCA_019313695.1, GCA_021163105.1, GCA_002402655.1"
SZUA-378,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028696695.1, GCA_023392535.1, GCA_947631985.1, GCA_003246295.1, GCA_023458855.1"
UBA12044,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_000989675.1, GCA_001771775.1, GCA_000990085.1, GCA_000989775.1, GCA_001772465.1"
UBA12499,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001788425.1, GCA_001790235.1, GCA_016188005.1, GCA_001788415.1, GCA_030688185.1"
CAIYPH01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903845065.1, GCA_903886375.1, GCA_947447625.1, GCA_903918475.1, GCA_903865895.1"
UMGS263,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_949283785.1, GCA_902406065.1, GCA_944380915.1, GCA_024680655.1, GCA_900540535.1"
Palsa-1032,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030858605.1, GCA_003131865.1, GCA_003169735.1, GCA_030858685.1, GCA_030446555.1"
UBA854,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913042905.1, GCA_913020415.1, GCA_002295885.1, GCA_913048235.1, GCA_029245245.1"
JAKAKS01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027328785.1, GCA_027414875.1, GCA_028065145.1, GCA_027347715.1, GCA_027414835.1"
UBA2031,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_937862715.1, GCA_020845835.1, GCA_003543245.1, GCA_018055395.1, GCA_018057205.1"
Bog-877,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003135795.1, GCA_003135695.1, GCA_030038765.1, GCA_937913025.1, GCA_003135035.1"
SIG440,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017436245.1, GCA_015068655.1, GCA_015068845.1, GCA_017546165.1, GCA_017456605.1"
JAAYDK01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023230445.1, GCA_028711625.1, GCA_028684265.1, GCA_028697355.1, GCA_028702955.1"
2-12-FULL-55-11,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001788995.1, GCA_943354555.1, GCA_001787705.1, GCA_007376635.1, GCA_001787675.1"
SORT01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022571215.1, GCA_004402895.1, GCA_022563175.1, GCA_022567735.1, GCA_022567635.1"
WRAV01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_009780025.1, GCA_009777635.1, GCA_029550985.1, GCA_018434245.1, GCA_009776345.1"
MarineAlpha5-Bin3,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022449655.1, GCA_902630545.1, GCA_002937955.1, GCA_902596065.1, GCA_902577425.1"
WLXB01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018666155.1, GCA_943787205.1, GCA_028822445.1, GCA_018663465.1, GCA_030835385.1"
46-47,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001509335.1, GCA_028698225.1, GCA_001508355.1, GCA_002452555.1, GCA_028716785.1"
UBA6233,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028717055.1, GCA_026387335.1, GCA_030650425.1, GCA_028711525.1, GCA_002440965.1"
T1SED10-81,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003550405.1, GCA_003568315.1, GCA_003553385.1, GCA_003551005.1, GCA_003554175.1"
YA12-FULL-51-18,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903867985.1, GCA_001799575.1, GCA_022703115.1, GCA_001800245.1, GCA_001799775.1"
UBA6955,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_018700215.1, GCA_002480145.1, GCA_027251215.1, GCA_022451865.1, GCA_002707835.1"
RBG-13-51-36,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903920465.1, GCA_022866545.1, GCA_903884455.1, GCA_029857995.1, GCA_001796515.1"
JARDZU01,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_025928935.1, GCA_025937575.1, GCA_029240695.1, GCA_025929735.1, GCA_025931225.1"
CG03,Bacteria,,GTDB_Only,No_Match,10,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030655655.1, GCA_018900575.1, GCA_002782565.1, GCA_018899275.1, GCA_018901505.1"
CHPMRC01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017495115.1, GCA_016787225.1, GCA_947489435.1, GCA_947500205.1, GCA_030832185.1"
UBA1426,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_012521055.1, GCA_002385825.1, GCA_029567345.1, GCA_030057495.1, GCA_002329675.1"
UBA8346,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023392595.1, GCA_003501335.1, GCA_003501365.1, GCA_023401925.1, GCA_023415375.1"
WYZ-LMO8,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_004347915.1, GCA_026414405.1, GCA_011605835.1, GCA_030055465.1, GCA_020833355.1"
NBLH01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027083715.1, GCA_029933755.1, GCA_029210905.1, GCA_002084525.1, GCA_016937695.1"
JALGZG01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030609365.1, GCA_025782405.1, GCA_030639555.1, GCA_030613615.1, GCA_030595835.1"
JAKAGC01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_011771905.1, GCA_011771685.1, GCA_021817755.1, GCA_011771225.1, GCA_030837085.1"
WO2-40-15,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001821655.1, GCA_001819555.1, GCA_001819655.1, GCA_001819575.1, GCA_001819665.1"
GCA-2730855,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902553415.1, GCA_002730855.1, GCA_913042085.1, GCA_902532015.1, GCA_902514295.1"
JAAVYW01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947388765.1, GCA_947643015.1, GCA_947244515.1, GCA_947061515.1, GCA_948467935.1"
TMP-24,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCF_030143205.1, GCA_018240385.1, GCA_945956905.1, GCA_947476475.1, GCA_018240425.1"
QMVO01,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_025464245.1, GCA_025464645.1, GCA_025464405.1, GCA_025464585.1, GCA_025464155.1"
UBA5429,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017860455.1, GCA_002427605.1, GCA_012837535.1, GCA_002397685.1, GCA_028696445.1"
JAAYYF01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_020847035.1, GCA_963170125.1, GCA_012515535.1, GCA_019637515.1, GCA_937873495.1"
JAADDL01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_015488975.1, GCA_027065125.1, GCA_013153915.1, GCA_027013345.1, GCA_026993075.1"
CAJQGY01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938075575.1, GCA_029248595.1, GCA_905478015.1, GCA_943788365.1, GCA_943842455.1"
SLMJ01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003557465.1, GCA_007121395.1, GCA_007133545.1, GCA_007123655.1, GCA_007122555.1"
CAIKMD01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_903909615.1, GCA_903928605.1, GCA_903822765.1, GCA_903822185.1, GCA_903886235.1"
UBA9968,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_016193465.1, GCA_003490035.1, GCA_001799045.1, GCA_016192715.1, GCA_016184235.1"
Fen-1273,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003154425.1, GCA_003171415.1, GCA_003158475.1, GCA_003158685.1, GCA_003154795.1"
PXDC01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_007119975.1, GCA_003558065.1, GCA_007120175.1, GCA_007129275.1, GCA_003565135.1"
CALNBE01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_031285745.1, GCA_031284845.1, GCA_031273045.1, GCA_031289285.1, GCA_031280235.1"
UBA6615,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002713365.1, GCA_002937505.1, GCA_913045285.1, GCA_002717545.1, GCA_002433205.1"
CALEWY01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_937930695.1, GCA_938030965.1, GCA_938048325.1, GCA_937976305.1, GCA_937925335.1"
CAIKNB01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_016222815.1, GCA_027425135.1, GCA_903828685.1, GCA_027425155.1, GCA_027330985.1"
RUG11797,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017415305.1, GCA_017547975.1, GCA_017441705.1, GCA_902772625.1, GCA_017532545.1"
Rs1,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_000416275.1, GCA_013215375.1, GCA_000416315.1, GCA_013215505.1, GCA_013215445.1"
UBA4575,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002386945.1, GCA_029253965.1, GCA_905479295.1, GCA_029254465.1, GCA_943789445.1"
GCA-2712665,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913048985.1, GCA_015659275.1, GCA_028345065.1, GCA_002712665.1, GCA_002938035.1"
SIG644,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017456145.1, GCA_017452545.1, GCA_934476315.1, GCA_017507985.1, GCA_015064395.1"
UBA10015,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003529035.1, GCA_016201705.1, GCA_003522725.1, GCA_001805565.1, GCA_016217585.1"
UBA6898,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002448975.1, GCA_020056455.1, GCA_003234985.1, GCA_002451165.1, GCA_012026685.1"
UBA3796,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_902760475.1, GCA_946414685.1, GCA_902801565.1, GCA_017392405.1, GCA_946625985.1"
UMGS1307,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_900550505.1, GCA_902467015.1, GCA_017436675.1, GCA_937924835.1, GCA_944383735.1"
HB2-32-21,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_019090225.1, GCA_937998635.1, GCA_021773435.1, GCA_002431545.1, GCA_003646365.1"
UBA9629,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003517985.1, GCA_001000955.1, GCA_003531545.1, GCA_003508685.1, GCA_001818185.1"
S012-128,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_015492815.1, GCA_015484725.1, GCA_026984005.1, GCA_015488325.1, GCA_015490925.1"
EX4572-44,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_905171695.1, GCA_905171685.1, GCA_002255135.1, GCA_029932115.1, GCA_905171675.1"
UBA9637,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001798485.1, GCA_003450795.1, GCA_001798155.1, GCA_001798625.1, GCA_003537875.1"
GCA-2746235,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_024225175.1, GCA_024229395.1, GCA_024230235.1, GCA_027623295.1, GCA_027619625.1"
CADEFQ01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_026125335.1, GCA_902826635.1, GCA_019634915.1, GCA_019187185.1, GCA_902826575.1"
COMBO-56-21,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_022865445.1, GCA_001800815.1, GCA_001800675.1, GCA_020725925.1, GCA_937872085.1"
VXOZ01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_028874835.1, GCA_009839775.1, GCA_022822585.1, GCA_012270555.1, GCA_022824225.1"
JAAYBY01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_012521915.1, GCA_012523135.1, GCA_028684715.1, GCA_028701905.1, GCA_028709025.1"
CANFDS01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947467285.1, GCA_947472845.1, GCA_947507735.1, GCA_947479895.1, GCA_947468165.1"
JACNIV01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_014382915.1, GCA_016782665.1, GCA_030668345.1, GCA_023133395.1, GCA_030621085.1"
JAGVVH01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_023392945.1, GCA_030267125.1, GCA_030267265.1, GCA_030267115.1, GCA_031272025.1"
JAAYBF01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_013812005.1, GCA_012718975.1, GCA_030858405.1, GCA_030448005.1, GCA_013811765.1"
RUG11241,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_934167475.1, GCA_958427045.1, GCA_934162285.1, GCA_934167245.1, GCA_902493405.1"
UBA226,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030740025.1, GCA_030750665.1, GCA_012959275.1, GCA_029942165.1, GCA_014240385.1"
SHND01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_004295045.1, GCA_021463805.1, GCA_016209205.1, GCA_029778615.1, GCA_030263575.1"
UBA349,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030696745.1, GCA_030651635.1, GCA_002839705.1, GCA_030691365.1, GCA_030656015.1"
UBA8444,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_913041085.1, GCA_938075295.1, GCA_029248105.1, GCA_913048435.1, GCA_002719155.1"
JAAYBG01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017992155.1, GCA_028691715.1, GCA_028693535.1, GCA_023422115.1, GCA_028685335.1"
YC2-FULL-38-9,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001790195.1, GCA_001790115.1, GCA_001790045.1, GCA_001788305.1, GCA_001790155.1"
JACKBK01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_020434015.1, GCA_020433985.1, GCA_020634555.1, GCA_023957165.1, GCA_020433115.1"
JAKAWJ01,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027385805.1, GCA_027357665.1, GCA_021800035.1, GCA_027340745.1, GCA_027385845.1"
E44-bin32,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030606845.1, GCA_004376465.1, GCA_030588835.1, GCA_030668545.1, GCA_030632065.1"
UBA2979,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002725365.1, GCA_002348225.1, GCA_913041555.1, GCA_029247135.1, GCA_913051185.1"
GN02-873,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_916720625.1, GCA_030530435.1, GCA_938036655.1, GCA_947097595.1, GCA_003260345.1"
UBA2798,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002455135.1, GCA_003433615.1, GCA_002343905.1, GCA_002425005.1, GCA_002343035.1"
MGBC140009,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_947089905.1, GCA_951800965.1, GCA_949025295.1, GCA_948584675.1, GCA_950022565.1"
SIG575,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_015066175.1, GCA_017935325.1, GCA_017520635.1, GCA_017380115.1, GCA_017408455.1"
UCB2,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003577245.1, GCA_013360765.1, GCA_015075555.1, GCA_008363095.1, GCA_021404665.1"
UBA1351,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002342805.1, GCA_002306455.1, GCA_002306535.1, GCA_913062825.1, GCA_002342765.1"
JAIRLS01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_031273395.1, GCA_031270985.1, GCA_031275285.1, GCA_031259205.1, GCA_031260845.1"
WRNX01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_031286285.1, GCA_009776395.1, GCA_009787115.1, GCA_031253655.1, GCA_009786185.1"
CALXXL01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_959602135.1, GCA_946490595.1, GCA_944392655.1, GCA_949291525.1, GCA_028709805.1"
GCA-2726245,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_020638995.1, GCA_020426705.1, GCA_020426725.1, GCA_020638975.1, GCA_027622275.1"
UBA11869,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029936065.1, GCA_913041115.1, GCA_913046215.1, GCA_002692205.1, GCA_913052335.1"
MWEI01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021372395.1, GCA_029547045.1, GCA_029556665.1, GCA_023623015.1, GCA_029552245.1"
JAHDCE01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_020631375.1, GCA_020631355.1, GCA_020629475.1, GCA_020628145.1, GCA_020630455.1"
CAJQQY01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_938046085.1, GCA_937929925.1, GCA_029251525.1, GCA_029242785.1, GCA_938010675.1"
UBA2227,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002841515.1, GCA_927435855.1, GCA_002841605.1, GCA_024709285.1, GCA_003510215.1"
2-01-FULL-39-28,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_001794095.1, GCA_001794015.1, GCA_001795735.1, GCA_001793985.1, GCA_001794635.1"
JAGXLC01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_021740225.1, GCA_018335235.1, GCA_018334675.1, GCA_913055635.1, GCA_913055895.1"
JAKANR01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_027423585.1, GCA_021823645.1, GCA_027423565.1, GCA_021839705.1, GCA_027423625.1"
2-12-FULL-60-25,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003576745.1, GCA_023246415.1, GCA_001791275.1, GCA_025993775.1, GCA_014728655.1"
UBA8898,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029558765.1, GCA_029973875.1, GCA_022705305.1, GCA_018435005.1, GCA_002402755.1"
JABDMD01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_029862145.1, GCA_013001685.1, GCA_937922735.1, GCA_014075255.1, GCA_028279275.1"
WVZY01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_011773645.1, GCA_011771745.1, GCA_011772205.1, GCA_011771255.1, GCA_011773975.1"
UBA6776,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_002711205.1, GCA_002434995.1, GCA_937914855.1, GCA_002296845.1, GCA_003450695.1"
MGIIa-K2,Archaea,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_003672705.1, GCA_002719395.1, GCA_013330815.1, GCA_937919745.1, GCA_905181715.1"
RGIG3009,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_017440765.1, GCA_017504645.1, GCA_017436915.1, GCA_017936615.1, GCA_017503785.1"
S145-25,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_024277445.1, GCA_027061425.1, GCA_015493495.1, GCA_030596305.1, GCA_027859195.1"
RUG343,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_946406365.1, GCA_902787765.1, GCA_947168485.1, GCA_017441845.1, GCA_017512125.1"
JACCQS01,Bacteria,,GTDB_Only,No_Match,9,1,0,0,No verifiable NCBI taxonomy classification,"GCA_030858225.1, GCA_030860025.1, GCA_013812385.1, GCA_013811805.1, GCA_013814015.1"
